Column A,Column B,Answer
Perimeter,Total boundary length,Matching
Area,Region covered by a figure,Matching
Square,All sides equal,Matching
Rectangle,Opposite sides equal,Matching
Unit of length,Metre,Matching
Unit of area,Square metre,Matching
Unit of volume,Cubic metre,Matching
Perimeter of square,4 × side,Matching
Area of square,Side × side,Matching
Perimeter of rectangle,2(l + b),Matching
Area of rectangle,l × b,Matching
Plane figure,Flat shape,Matching
Solid figure,3D shape,Matching
Boundary,Outer line of a figure,Matching
Unit square,Square of side 1 unit,Matching
