Question,Answer
A figure is symmetric if it can be divided into two __ parts.,equal
The line that divides a figure into two equal halves is called the __.,line of symmetry
A figure with no line of symmetry is called __.,asymmetric
A square has __ lines of symmetry.,4
A rectangle has __ lines of symmetry.,2
A circle has __ lines of symmetry.,infinite
An equilateral triangle has __ lines of symmetry.,3
An isosceles triangle has __ line(s) of symmetry.,1
A scalene triangle has __ lines of symmetry.,0
A regular pentagon has __ lines of symmetry.,5
A regular hexagon has __ lines of symmetry.,6
A regular polygon with n sides has __ lines of symmetry.,n
The mirror image of a figure is its __.,reflection
The process of obtaining a mirror image is called __.,reflection
The fixed line in reflection is called the __.,mirror line
Reflection preserves the __ of a figure.,shape and size
After reflection, the orientation of the figure is __.,reversed
The distance of a point from the mirror line is __ before and after reflection.,same
The mirror image of a point lies on the __ side of the mirror line.,opposite
Letters A, H, I, M, O, T, U, V, W, X, and Y have __ symmetry.,vertical
The letter B has __ line(s) of symmetry.,1
The letter C has __ line(s) of symmetry.,1
The letter S has __ line(s) of symmetry.,0
The letter E has __ line(s) of symmetry.,1
The letter K has __ line(s) of symmetry.,0
The letter Z has __ line(s) of symmetry.,0
The shape of a butterfly is generally __.,symmetric
The shape of a leaf is often __.,symmetric
A heart shape has __ line(s) of symmetry.,1
The letter O has __ lines of symmetry.,infinite
The letter X has __ lines of symmetry.,2
The letter H has __ lines of symmetry.,2
The letter T has __ line(s) of symmetry.,1
The letter P has __ line(s) of symmetry.,0
The letter Q has __ line(s) of symmetry.,0
The figure of a square rotated by 90° looks __.,same
Rotation symmetry of a circle is __.,infinite
A regular triangle has rotational symmetry of order __.,3
A square has rotational symmetry of order __.,4
A rectangle has rotational symmetry of order __.,2
Rotation of 180° is called __.,half turn
Rotation of 90° is called __.,quarter turn
Rotation of 360° is called __.,full turn
A figure that looks same after rotation is said to have __ symmetry.,rotational
The point about which a figure is rotated is called the __.,centre of rotation
The number of times a figure matches itself in a full rotation is called the __ of rotational symmetry.,order
The mirror image of the word "MOM" in a vertical mirror remains __.,same
A figure having both reflectional and rotational symmetry is called __.,symmetric figure
The distance between a point and its image is __ times the distance from the mirror line.,two
If a figure has exactly one line of symmetry, it is called __ symmetric.,line
A figure with multiple lines of symmetry is called __.,highly symmetric
