Question,Answer
A point has ______ dimension.,Zero
A line has ______ dimension.,One
A plane has ______ dimension.,Two
A line segment has ______ endpoints.,Two
A ray has ______ endpoint.,One
Two lines in the same plane which never meet are called ______.,Parallel lines
Two lines that intersect at a right angle are called ______.,Perpendicular lines
The shortest distance between two points is a ______.,Line segment
A closed figure made of straight lines is called a ______.,Polygon
A triangle has ______ sides.,3
A quadrilateral has ______ sides.,4
A pentagon has ______ sides.,5
A hexagon has ______ sides.,6
A heptagon has ______ sides.,7
An octagon has ______ sides.,8
A circle is a set of points equidistant from a ______.,Center
The distance from the center of a circle to any point on it is called the ______.,Radius
A line passing through the center of a circle and touching both sides is called ______.,Diameter
A diameter is ______ times the radius.,2
The longest chord of a circle is the ______.,Diameter
An angle formed by two rays with a common endpoint is called a ______.,Angle
A right angle measures ______ degrees.,90
An acute angle measures less than ______ degrees.,90
An obtuse angle measures more than ______ degrees.,90
A straight angle measures ______ degrees.,180
Two angles that add up to 90° are called ______ angles.,Complementary
Two angles that add up to 180° are called ______ angles.,Supplementary
Adjacent angles share a common ______.,Vertex
Two angles opposite to each other formed by two intersecting lines are called ______ angles.,Vertically opposite
A triangle with all sides equal is called ______ triangle.,Equilateral
A triangle with two sides equal is called ______ triangle.,Isosceles
A triangle with all sides different is called ______ triangle.,Scalene
A triangle with one angle 90° is called ______ triangle.,Right-angled
The sum of all angles of a triangle is ______ degrees.,180
The sum of all angles of a quadrilateral is ______ degrees.,360
A polygon with more than four sides is called a ______.,Regular polygon
A polygon with sides not all equal is called a ______.,Irregular polygon
The four sides of a rectangle are ______.,Opposite and equal
All angles of a rectangle are ______.,Right angles
All sides of a square are ______.,Equal
All angles of a square are ______.,Right angles
A parallelogram has ______ pairs of opposite sides parallel.,Two
The sum of interior angles of an n-sided polygon is ______.,(n-2)×180
The sum of exterior angles of any polygon is always ______ degrees.,360
A line that intersects two or more lines at distinct points is called a ______.,Transversal
Two lines that meet at a point are called ______ lines.,Intersecting
A shape with curved surface and no edges is called a ______.,Circle
A shape with curved line and closed figure is called a ______.,Curve
A point where two lines meet is called ______.,Vertex
