Question,Answer
Data is a collection of __.,Facts
The process of organizing data is called __.,Data handling
The representation of data using pictures is called __.,Pictograph
The representation of data using bars is called __.,Bar graph
The number of times a particular value occurs in data is called __.,Frequency
The horizontal line in a bar graph is called __.,X-axis
The vertical line in a bar graph is called __.,Y-axis
The height of a bar in a bar graph shows __.,Frequency
The scale on a bar graph helps to represent __.,Values
A pictograph uses __ to represent data.,Pictures
The first step in data handling is __.,Collecting data
The second step in data handling is __.,Organizing data
The third step in data handling is __.,Representing data
The fourth step in data handling is __.,Analyzing data
A tally mark represents __ count.,One
Five tally marks are represented as __.,||||/
A bar graph represents data in the form of __.,Bars
The data about favourite fruits of students is an example of __ data.,Categorical
The data about marks obtained by students is an example of __ data.,Numerical
The sum of frequencies is called __.,Total frequency
The horizontal line of a pictograph is called __.,Label line
The vertical line of a pictograph is called __.,Frequency line
The symbol used in pictograph is called __.,Picture symbol
A pictograph should always have a __.,Title
A bar graph should always have a __.,Title
The tallest bar in a bar graph represents __ frequency.,Highest
The shortest bar in a bar graph represents __ frequency.,Lowest
The frequency of the first item in data is represented by the __ bar.,First
The frequency of the last item in data is represented by the __ bar.,Last
Data handling helps to make __.,Decisions
Bar graphs are made on __ paper.,Graph
The line along which the bars stand is called __.,Baseline
The length of a bar in a bar graph is proportional to __.,Frequency
The data about favourite colours of students is an example of __ data.,Categorical
The data about heights of students is an example of __ data.,Numerical
The number of students wearing red colour is __ in a pictograph.,Frequency
A pictograph always uses __ to represent a fixed number of items.,Symbol
The pictograph shows data in __ form.,Visual
The bar graph shows data in __ form.,Visual
A tally chart is used to __ data.,Organize
A pictograph is used to __ data.,Represent
The frequency table helps to show __ clearly.,Frequencies
Data can be __ in tables or graphs.,Represented
A bar graph is useful to compare __ data.,Different
The pictograph is useful to compare __ data.,Different
The tally marks are drawn in __ lines.,Groups of five
The number of items in a tally chart is called __.,Frequency
The frequency of the second item in a pictograph is represented by __ symbol.,Second
A bar graph is a __ way of showing data.,Graphical
The pictograph is a __ way of showing data.,Graphical
The data about favourite pets of students is __ data.,Categorical
