Question,Answer
A fraction consists of a ______ and a denominator.,Numerator
The bottom part of a fraction is called the ______.,Denominator
The fraction 3/4 has numerator ______.,3
The fraction 7/8 has denominator ______.,8
A fraction with numerator 1 is called a ______ fraction.,Unit
A fraction where numerator is greater than denominator is called ______.,Improper fraction
A fraction where numerator is less than denominator is called ______.,Proper fraction
A fraction greater than 1 is called ______.,Improper fraction
A fraction less than 1 is called ______.,Proper fraction
A mixed fraction consists of a ______ and a proper fraction.,Whole number
Equivalent fractions have the same ______.,Value
Simplest form of a fraction has numerator and denominator with HCF ______.,1
The fraction 6/8 in simplest form is ______.,3/4
The fraction 15/20 in simplest form is ______.,3/4
The sum of 1/2 and 1/3 is ______.,5/6
The difference of 3/4 and 1/2 is ______.,1/4
The product of 2/3 and 3/4 is ______.,1/2
The quotient of 3/4 ÷ 2/5 is ______.,15/8
To add fractions, we make their denominators ______.,Same
The LCM of denominators is used to find the ______.,LCM denominator
The fraction 5/10 is equivalent to ______.,1/2
The fraction 9/12 is equivalent to ______.,3/4
A fraction with numerator 0 is equal to ______.,0
A fraction 7/7 is equal to ______.,1
A proper fraction is always ______ than 1.,Less
An improper fraction is always ______ than 1.,Greater or equal
The reciprocal of 2/3 is ______.,3/2
The reciprocal of 5 is ______.,1/5
Adding 2/5 + 3/5 gives ______.,1
Subtracting 7/8 – 1/8 gives ______.,6/8 or 3/4
Multiplying a fraction by its reciprocal gives ______.,1
A fraction multiplied by 1 gives ______.,Itself
A fraction divided by 1 gives ______.,Itself
The fraction 3/7 ÷ 3 is equal to ______.,1/7
A mixed fraction 2 1/3 in improper form is ______.,7/3
The fraction 5/6 + 1/2 is equal to ______.,4/3 or 1 1/3
The fraction 3/4 – 1/3 is equal to ______.,5/12
The product of 5/8 × 2/3 is ______.,5/12
The quotient of 7/10 ÷ 1/5 is ______.,7/2
The sum of 2/5 and 1/10 is ______.,1/2
The difference of 9/10 and 2/5 is ______.,1/2
A fraction with denominator 1 is equal to ______.,Numerator
Adding 0 to a fraction does not change its ______.,Value
Multiplying a fraction by 0 gives ______.,0
A fraction 4/9 in simplest form is ______.,4/9
The fraction 12/16 in simplest form is ______.,3/4
The fraction 18/24 in simplest form is ______.,3/4
The reciprocal of 7/4 is ______.,4/7
Adding 1/6 + 2/3 gives ______.,5/6
Subtracting 5/8 – 1/4 gives ______.,3/8
Multiplying 3/5 × 10/9 gives ______.,2/3
Dividing 7/8 ÷ 7/16 gives ______.,2
