Question,Answer
Discrimination is treating someone unfairly because of their __________,identity
Caste, religion, gender, and __________ are common bases of discrimination,ethnicity
Diversity means differences in culture, language, and __________,customs
All citizens have equal __________ under the law,rights
Prejudice is a negative __________ towards a group,attitude
Stereotypes are generalizations about __________,people
Discrimination violates the principles of __________,equality
The Indian Constitution prohibits discrimination based on caste, religion, gender, and __________,place of birth
Social discrimination can lead to __________,inequality
Untouchability was abolished by the __________,Constitution
Education helps reduce __________,discrimination
People should respect each other's __________,differences
Tolerance promotes __________ among communities,harmony
Gender discrimination affects __________,opportunities
Children should be taught about __________,diversity
Discrimination can occur in __________,employment
Discrimination can occur in __________,schools
All religions should be treated with __________,respect
Prejudices are often based on __________,ignorance
People from different castes should eat and live __________,together
Social reformers fought against __________,discrimination
Reservation policies promote social __________,justice
Segregation separates people based on __________,differences
Equality is a fundamental __________ of democracy,value
Human rights protect individuals from __________,discrimination
Diversity includes differences in __________,language
Respecting diversity strengthens national __________,unity
Gender equality means equal __________ for men and women,opportunities
Religious discrimination affects __________,society
Discrimination can be seen in access to __________,resources
Awareness campaigns promote __________,inclusion
Social harmony requires mutual __________,respect
People must avoid __________ based on caste,gender,religion,prejudice
Bullying based on differences is a form of __________,discrimination
Equality before the law is guaranteed in the __________,Constitution
Discrimination undermines human __________,dignity
Prejudices can be challenged through __________,education
Communities should celebrate __________,diversity
Equal opportunities ensure __________ for all citizens,justice
Discrimination affects mental and __________ health,physical
Respecting different cultures promotes __________,peace
Social discrimination can lead to __________,violence
Positive attitude towards diversity fosters __________,inclusion
Gender roles are socially __________,constructed
Discrimination limits social __________,mobility
People should value __________ over differences,similarities
Human rights ensure protection from __________,inequality
Awareness of laws can prevent __________,discrimination
Equal treatment strengthens democratic __________,principles
Diversity should be seen as a source of __________,strength
