Type,Column A,Column B / Correct Match
Question,Taro’s motivation,Filial love
Question,Reason Taro worked hard,Parents’ happiness
Question,Magic of waterfall,Reward for kindness
Question,Taro’s behavior,Selfless
Question,Emperor’s reaction,Happiness and praise
Question,Gift from emperor,Gold rice and silk
Question,Greedy villagers’ mistake,Imitating without goodness
Question,Reason waterfall changed,True intention
Question,Theme of story,Reward of goodness
Question,Taro’s sacrifice,Physical hard work
Question,Parents’ reaction,Joy and pride
Question,Taro’s character,Obedient and caring
Question,Failure of villagers,Lack of kindness
