Type,Column A,Column B / Correct Match
Question,Radha’s symbolism,Freedom of thought
Question,Nasir’s vision,Environmental responsibility
Question,Rohit’s ambition,National pride
Question,Serena’s character,Self-discipline
Question,Dolma’s trait,Fearlessness
Question,Peter’s role model,Professional footballers
Question,Childhood psychology,Exploration of identity
Question,Role of hobbies,Shape personality
Question,Value education,Self-awareness
Question,Theme of chapter,Identity formation
Question,Social message,Respect diverse dreams
Question,Career awareness,Multiple possibilities
Question,Gender representation,Equal aspirations
Question,Life skill,Confidence
