Type,Column A,Column B / Correct Match
Question,Banyan tree importance,Home to animals
Question,Narrator’s observation,Wildlife closely
Question,Grandfather’s house,Surrounded by nature
Question,Python vs mongoose,Fight scene
Question,Roots of banyan,Support tree
Question,Tree house purpose,Watching animals
Question,Birds’ activity,Nesting
Question,Animals’ behavior,Coexist peacefully
Question,Narrator’s feeling,Curiosity
Question,Story atmosphere,Calm and natural
Question,Peepul tree relation,Grew inside banyan
Question,Lesson from story,Respect nature
Question,Nature’s balance,Predator and prey
Question,Time passing,Tree keeps growing
Question,Central idea,Nature as companion
A
