Type,Column A,Column B / Correct Match
Question,Patrick’s transformation,Lazy to responsible
Question,Elf’s real contribution,Motivation to study
Question,Patrick’s sacrifice,Sleep and playtime
Question,Reason for success,Self-effort not magic
Question,Elf’s limitation,Lack of academic knowledge
Question,Patrick’s handwriting,Improved through practice
Question,Patrick’s confidence,Built by regular study
Question,Teachers’ reaction,Surprise and praise
Question,Parents’ reaction,Pride and happiness
Question,Role of books,Primary learning tool
Question,Symbol of elf,False shortcut
Question,Patrick’s discipline,Daily study habit
Question,Story’s irony,Wish caused hard work
Question,Core message,No substitute for effort
