Type,Column A,Column B / Correct Match
Question,Rasheed,Main character
Question,Rasheed’s age,Fourteen years
Question,Rasheed’s work,Helping his uncle
Question,Uncle’s shop,Perfume seller
Question,Fair place,Idgah
Question,Game of chance,Magic well
Question,Magic well,Promised good luck
Question,Rasheed’s money,One rupee
Question,Trickster,Fakir
Question,First try,Lost money
Question,Repeated tries,Lost more money
Question,Rasheed’s mistake,Greed
Question,Result,Lost all money
Question,Lesson,Do not trust tricks
Question,Story theme,Beware of greed
