Type,Column A,Column B / Correct Match
Question,Rasheed’s weakness,Greed
Question,Reason Rasheed played,Hope of winning
Question,Fakir’s role,Cheater
Question,Why Rasheed continued,False hope
Question,Money lost,Entire savings
Question,Uncle’s advice,Do not gamble
Question,Rasheed’s realization,Too late
Question,Magic well truth,Deception
Question,Theme of story,Greed and loss
Question,Setting,Idgah fair
Question,Rasheed’s emotion,Regret
Question,Why fakir succeeded,Temptation
Question,Nature of game,Fraud
Question,Outcome,Lesson learnt
Question,Moral,Greed leads to loss
Answer,Rasheed’s weakness,Greed
