Type,Column A,Column B / Correct Match
Question,Cause of quarrel,Thoughtless words
Question,Effect of anger,Hurts relationships
Question,Role of silence,Calms emotions
Question,Change in mood,Anger to peace
Question,Poem’s message,Peace is better
Question,Why quarrel ends,Anger fades
Question,Poet’s tone,Gentle
Question,Human nature,Quick temper
Question,Ending meaning,Reconciliation
Question,Conflict resolution,Silence
Question,Emotional journey,Fight to calm
Question,Poem relevance,Daily life
Question,Importance of forgiveness,Restores harmony
Question,Theme,Temporary anger
