Type,Column A,Column B / Correct Match
Question,Taro,A poor woodcutter
Question,Taro’s parents,Old and weak
Question,Taro’s job,Cutting wood
Question,Taro’s wish,To buy sake for his father
Question,Sake,Traditional Japanese drink
Question,Waterfall,Turned into sake
Question,Taro’s kindness,Love for parents
Question,Taro’s effort,Worked harder
Question,Reward given,Rice gold and silk
Question,Emperor,Pleased with Taro
Question,Greedy villagers,Tried to copy Taro
Question,Greedy act,Shouted at waterfall
Question,Result of greed,Waterfall stayed water
Question,Story lesson,Goodness is rewarded
