Type,Column A,Column B / Correct Match
Question,Philosophy of poem,Language empowers thought
Question,Words symbolism,Creative energy
Question,Imagery used,Light and colour
Question,Poet’s intention,Build confidence
Question,Educational value,Encourage expression
Question,Language and identity,Self-expression
Question,Words and creativity,Interlinked
Question,Poem’s simplicity,Universal appeal
Question,Freedom of words,No restrictions
Question,Emotional impact,Inspiration
Question,Poet’s tone,Motivational
Question,Modern relevance,Communication age
Question,Cognitive growth,Through language
Question,Core message,Words shape imagination
Question,Overall theme,Power of expression
Answer,Philosophy of poem,Language empowers thought
