Type,Column A,Column B / Correct Match
Question,Kite’s rise,Strong wind support
Question,Kite’s fall,String breaks
Question,Wind’s role,Powerful force
Question,Kite struggle,Battle with wind
Question,Kite control,Balance of string
Question,Kite movement,Upward and downward
Question,Kite sound,Whistling noise
Question,Poet’s description,Lively imagery
Question,Kite comparison,Climbing creature
Question,Poem mood,Exciting
Question,Kite behavior,Resists wind
Question,Kite failure,Lack of control
Question,Theme,Strength and balance
