Type,Column A,Column B / Correct Match
Question,Rasheed’s character flaw,Greed
Question,Fakir’s manipulation,Psychological trick
Question,Symbol of magic well,False hope
Question,Reason for Rasheed’s loss,Ignoring advice
Question,Core conflict,Greed vs wisdom
Question,Uncle’s role,Voice of reason
Question,Irony of game,Always loss
Question,Social warning,Avoid gambling
Question,Life lesson,Easy money is dangerous
Question,Human weakness,Temptation
Question,Cause of repeated play,Addiction
Question,Moral teaching,Self-control
Question,Story’s message,Be cautious
Question,Outcome for Rasheed,Experience gained
Question,Central theme,Consequences of greed
Answer,Rasheed’s character flaw,Greed
