Type,Column A,Column B / Correct Match
Question,House vs Home,Structure vs emotions
Question,Home symbol,Love and care
Question,Kite movement,Rises and falls
Question,Kite poet,Harry Behn
Question,Quarrel cause,Harsh words
Question,Quarrel message,Peace is better
Question,Beauty at night,Silence and stars
Question,Beauty theme,Appreciation
Question,Teachers poem tone,Humorous
Question,Poet’s idea,Teachers have personal lives
Question,Wonderful Words theme,Power of words
Question,Words role,Create imagination
Question,Vocation theme,Freedom
