Type,Column A,Column B / Correct Match
Question,Poem name,Beauty
Question,Poet,E Y Miller
Question,Beauty found,Everywhere
Question,Daytime beauty,Sunlight and trees
Question,Night beauty,Moon and stars
Question,Sounds,Birds singing
Question,Beauty in people,Kindness
Question,Beauty in actions,Helping others
Question,Beauty effect,Joy
Question,Poem theme,Beauty around us
Question,Beauty in nature,Flowers and birds
Question,Beauty at night,Calm silence
Question,Inner beauty,Good behavior
Question,Tone of poem,Peaceful
Question,Lesson,Notice beauty
