Type,Column A,Column B / Correct Match
Question,Poem name,Whatif
Question,Poet,Shel Silverstein
Question,Speaker,A young child
Question,Whatif,Imaginary worry
Question,Time of worries,Night
Question,Child’s feeling,Fear
Question,Worries,Whisper thoughts
Question,Child’s fear,Getting sick
Question,Another fear,Failing at school
Question,Whatif thoughts,Negative ideas
Question,Morning effect,Fears disappear
Question,Poem ending,Nothing bad happens
Question,Poem tone,Humorous
Question,Theme,Imaginary fears
Question,Lesson,Do not worry
Answer,Poem name,Whatif
Answer,Poet,Shel Silverstein
