Type,Column A,Column B / Correct Match
Question,Radha’s preference,Freedom and solitude
Question,Nasir’s concern,Environment
Question,Rohit’s learning,Discipline through sports
Question,Serena’s routine,Regular practice
Question,Dolma’s inspiration,Mountain climbers
Question,Peter’s value,Teamwork
Question,Radha’s personality,Independent thinker
Question,Nasir’s contribution,Helping farmers
Question,Rohit’s dream,Play for the country
Question,Serena’s strength,Determination
Question,Dolma’s ambition,Adventure
Question,Peter’s skill,Coordination
Question,Message of chapter,Accept individuality
Question,Importance of dreams,Give direction
Question,Theme,Diversity of interests
Answer,Radha’s preference,Freedom and solitude
