Type,Column A,Column B / Correct Match
Question,Central idea,Child’s desire for freedom
Question,Why hawker attracts child,Works independently
Question,Why gardener attracts child,Joyful work
Question,Why watchman attracts child,Freedom at night
Question,Child’s view of school,Restrictive
Question,Poem perspective,Child’s voice
Question,Theme,Freedom vs restriction
Question,Poem message,Respect childhood dreams
Question,Child psychology,Curiosity
Question,Symbol of hawker,Independence
Question,Symbol of gardener,Joy
Question,Symbol of watchman,Adventure
Question,Poem tone,Gentle and reflective
Question,Relevance,Universal childhood feeling
Question,Lesson,Imagination is natural
Answer,Central idea,Child’s desire for freedom
