Type,Column A,Column B / Correct Match
Question,Nocturnal behavior,Heat avoidance strategy
Question,Camouflage,Protection from predators
Question,Camel’s physiology,Efficient water use
Question,Snakes’ burrowing,Temperature regulation
Question,Gerbil’s survival,Minimal water need
Question,Desert ecosystem,Harsh but balanced
Question,Predator-prey relation,Mongoose and snake
Question,Adaptive coloration,Blend with surroundings
Question,Extreme climate impact,Limits activity
Question,Water retention,Key survival trait
Question,Desert food chain,Interdependence
Question,Behavioral adaptation,Night activity
Question,Structural adaptation,Body features
