Type,Column A,Column B / Correct Match
Question,Radha,Likes climbing trees
Question,Nasir,Wants to grow plants
Question,Rohit,Loves playing cricket
Question,Serena,Enjoys gymnastics
Question,Dolma,Wants to be a mountaineer
Question,Peter,Loves football
Question,Radha’s nature,Independent
Question,Nasir’s dream,Planting trees
Question,Rohit’s ambition,Become a cricketer
Question,Serena’s goal,Become a gymnast
Question,Dolma’s quality,Courageous
Question,Peter’s interest,Team sports
Question,Common factor,All have dreams
Question,Chapter theme,Self-identity
Question,Lesson,Everyone is unique
