Type,Column A,Column B / Correct Match
Question,Poem name,Vocation
Question,Poet,Rabindranath Tagore
Question,Speaker,A young child
Question,First job imagined,Hawker
Question,Hawker sells,Bangles
Question,Second job imagined,Gardener
Question,Gardener works,In the garden
Question,Third job imagined,Watchman
Question,Watchman works,At night
Question,Child’s feeling,Desire for freedom
Question,School,Feels restrictive
Question,Theme,Freedom
Question,Poem tone,Innocent
Question,Child’s nature,Imaginative
Question,Lesson,Children dream freely
Answer,Poem name,Vocation
Answer,Poet,Rabindranath Tagore
A
