Type,Column A,Column B / Correct Match
Question,The dog,Tired of living a free life
Question,Dog’s wish,To find a master
Question,First master,Wolf
Question,Wolf feared,Bear
Question,Bear feared,Lion
Question,Lion feared,Man
Question,Strongest creature,Man
Question,Dog’s final master,Man
Question,Reason dog chose man,Man was not afraid
Question,Dog’s nature,Faithful
Question,Dog’s problem,Fear of enemies
Question,Dog’s journey,Search for protection
Question,Chain of fear,Wolf Bear Lion Man
Question,Dog’s decision,Serve man forever
