Type,Column A,Column B / Correct Match
Question,Patrick’s problem,Did not like homework
Question,Elf’s condition,Three wishes for help
Question,Elf’s weakness,Did not know school subjects
Question,Patrick’s role,Helped the elf study
Question,Patrick’s nights,Spent studying late
Question,Patrick’s improvement,Better grades
Question,Elf’s attitude,Complained constantly
Question,Patrick’s teachers,Impressed by progress
Question,Patrick’s parents,Pleased and surprised
Question,Books,Source of learning
Question,Homework effect,Changed Patrick’s habits
Question,Patrick’s routine,Less play more study
Question,End of exams,Elf disappeared
Question,Story’s twist,Patrick did the work
