Type,Column A,Column B / Correct Match
Question,Miss Beam,Headmistress of the school
Question,School type,Different kind of school
Question,Main aim,Teach kindness and empathy
Question,Blind day,Students wear bandages
Question,Lame day,Students use crutches
Question,Deaf day,Students avoid speaking
Question,Helpers,Guide affected students
Question,Narrator,Visitor to the school
Question,School rule,Learning by experience
Question,Children’s behavior,Helpful and caring
Question,Special days,Experience disabilities
Question,Lesson taught,Understanding others
Question,Teaching method,Practical learning
