Type,Column A,Column B / Correct Match
Question,Jumman Shaikh,Main character
Question,Algu Chaudhary,Jumman’s friend
Question,Jumman’s aunt,Old and helpless
Question,Property,Transferred to Jumman
Question,Aunt’s problem,Mistreatment
Question,Panchayat,Village court
Question,Panch,Judge in panchayat
Question,First panch,Algu Chaudhary
Question,Algu’s decision,Fair judgment
Question,Aunt’s demand,Monthly allowance
Question,Jumman’s reaction,Angry
Question,Second panch,Jumman Shaikh
Question,Algu’s problem,Bullock dispute
Question,Final judgment,In favour of Algu
