Type,Column A,Column B / Correct Match
Question,Experiential learning,Understanding through practice
Question,Ethical goal of school,Build humane citizens
Question,Blindness activity,Trust and patience
Question,Lameness activity,Shared responsibility
Question,Deafness activity,Non-verbal awareness
Question,Miss Beam’s leadership,Visionary education
Question,Students’ transformation,Greater empathy
Question,Assessment method,Behavioral change
Question,Social message,Respect the disabled
Question,Educational reform idea,Values with academics
Question,Role of discipline,Ensure sincerity
Question,Narrator’s insight,Values matter in life
