Type,Column A,Column B / Correct Match
Question,Dog’s main fear,Living without protection
Question,Reason dog left wolf,Wolf was afraid of bear
Question,Reason wolf feared bear,Bear was stronger
Question,Reason bear feared lion,Lion was more powerful
Question,Reason lion feared man,Man carried weapons
Question,Dog’s observation,Everyone feared someone stronger
Question,Dog’s conclusion,Man was the strongest
Question,Theme of story,Power and fear
Question,Dog’s loyalty,Result of protection
Question,Dog’s journey,Search for safety
Question,Hierarchy shown,Wolf Bear Lion Man
Question,Human power,Weapons and intelligence
Question,Why dog stayed with man,Man had no fear
Question,Story explains,Why dogs serve humans
Question,Key idea,Strength decides master
