Type,Column A,Column B / Correct Match
Question,Central idea,Creative use of words
Question,Poet’s view,Words give life to thoughts
Question,Words compared to,Colours and light
Question,Imagination,Created by words
Question,Role of words,Build ideas
Question,Poem tone,Positive and playful
Question,Words in poetry,Essential element
Question,Poet’s suggestion,Do not fear words
Question,Children’s learning,Through language
Question,Words and emotions,Closely connected
Question,Importance of vocabulary,Better expression
Question,Poem purpose,Encourage creativity
Question,Language freedom,No limits
Question,Poem relevance,Communication skills
Question,Theme,Joy of language
Answer,Central idea,Creative use of words
