Type,Column A,Column B / Correct Match
Question,A House symbolism,Physical shelter
Question,A Home symbolism,Emotional security
Question,Kite metaphor,Life’s ups and downs
Question,Kite control,Balance and skill
Question,Quarrel psychology,Temporary anger
Question,Silence in quarrel,Healing force
Question,Beauty philosophy,Omnipresent
Question,Beauty moral,Value small things
Question,Teachers poem theme,Humanizing authority
Question,Child’s curiosity,Innocent questioning
Question,Wonderful Words idea,Creative expression
Question,Words influence,Shape thoughts
Question,Vocation message,Desire for independence
Question,Child psychology,Imagination
Question,Whatif symbol,Anxiety
Answer,A House symbolism,Physical shelter
Answer,A Home symbolism,Emotional security
Answer,Kite metaphor,Life’s ups and downs
Answer,Kite control,Balance and skill
Answer,Quarrel psychology,Temporary anger
Answer,Silence in quarrel,Healing force
Answer,Beauty philosophy,Omnipresent
Answer,Beauty moral,Value small things
Answer,Teachers poem theme,Humanizing authority
Answer,Child’s curiosity,Innocent questioning
Answer,Wonderful Words idea,Creative expression
Answer,Words influence,Shape thoughts
Answer,Vocation message,Desire for independence
Answer,Child psychology,Imagination
Answer,Whatif symbol,Anxiety
