Type,Column A,Column B / Correct Match
Question,Poem’s philosophy,Freedom over discipline
Question,Child’s dissatisfaction,School routine
Question,Imagination role,Mental escape
Question,Contrast shown,School vs work
Question,Symbolism of jobs,Forms of freedom
Question,Hawker symbolism,Unrestricted movement
Question,Gardener symbolism,Creative labor
Question,Watchman symbolism,Independence and vigilance
Question,Poem’s deeper theme,Search for identity
Question,Childhood psychology,Desire for autonomy
Question,Poet’s intent,Value child’s perspective
Question,Educational insight,Balance freedom
Question,Social message,Understand children
Question,Poem’s relevance,Timeless
Question,Core lesson,Freedom nurtures growth
Answer,Poem’s philosophy,Freedom over discipline
