Type,Column A,Column B / Correct Match
Question,Whatif symbolism,Anxiety
Question,Night symbolism,Fear and imagination
Question,Morning symbolism,Truth and relief
Question,Poem psychology,Fear from thoughts
Question,Poet’s intention,Reduce anxiety
Question,Literary device,Personification
Question,Whatif whisper,Inner voice
Question,Child psychology,Imaginative fear
Question,Poem’s humor,Makes fear harmless
Question,Relevance today,Mental stress
Question,Theme depth,Mind creates fear
Question,Core message,Ignore imaginary worries
Question,Life skill,Emotional control
Question,Poem’s insight,Most fears never happen
Question,Overall theme,Fear vs reality
Answer,Whatif symbolism,Anxiety
Answer,Night symbolism,Fear and imagination
