Type,Column A,Column B / Correct Match
Question,Quarrel psychology,Emotional impulse
Question,Silence symbolism,Healing power
Question,Anger nature,Temporary emotion
Question,Poem philosophy,Peace is natural
Question,Human weakness,Uncontrolled speech
Question,Resolution method,Emotional cooling
Question,Conflict ethics,Avoid harm
Question,Relationship value,More important than ego
Question,Poet’s technique,Contrast
Question,Beginning mood,Hostility
Question,Ending mood,Calmness
Question,Poem’s insight,Anger fades with time
Question,Universal message,All quarrels end
Question,Life skill,Emotional control
Q
