Type,Column A,Column B / Correct Match
Question,Poem’s deeper theme,Equality of humans
Question,Child psychology,Curiosity about adults
Question,Literary device used,Rhetorical questions
Question,Humanising authority,Teachers as normal people
Question,Social message,Reduce power distance
Question,Poem’s humor,Gentle and non-mocking
Question,Emotional effect,Comfort
Question,Poet’s intention,Build empathy
Question,Teachers’ image,Beyond classroom
Question,Educational value,Healthy relationships

