Type,Column A,Column B / Correct Match
Question,Patrick,Did not like homework
Question,The elf,Promised to do Patrick’s homework
Question,The cat,Tried to catch the elf
Question,Three wishes,Granted to Patrick
Question,Patrick’s first wish,Homework done by elf
Question,The elf,Did not know Maths and English
Question,Patrick,Stayed up late studying
Question,Books,Helped Patrick learn
Question,Patrick’s grades,Improved greatly
Question,Patrick’s teachers,Were surprised
Question,Patrick’s parents,Were very happy
Question,Homework subjects,Maths English History
Question,Exams,Time when elf disappeared
Question,Patrick’s habit earlier,Playing games
