Type,Column A,Column B / Correct Match
Question,House,Building of bricks
Question,Home,Place of love
Question,House is made of,Stone and wood
Question,Home is made of,Caring people
Question,House feature,Doors and windows
Question,Home feature,Sharing and caring
Question,House,Physical structure
Question,Home,Emotional bond
Question,Poem theme,House vs home
Question,House,Cold and empty
Question,Home,Warm and loving
Question,Poet’s message,Love makes home
Question,Family,Lives in home
Question,House,Can be bought
Question,Home,Cannot be bought
Answer,House,Building of bricks
Answer,Home,Place of love
