Type,Column A,Column B / Correct Match
Question,Desert climate,Extreme temperatures
Question,Nocturnal animals,Active at night
Question,Reason for burrows,Protection from heat
Question,Camel’s adaptation,Survive without water
Question,Rattlesnake’s warning,Rattling sound
Question,Gerbil’s activity,Night movement
Question,Animals’ color,Blend with sand
Question,Water conservation,Essential for survival
Question,Snakes’ prey,Small animals
Question,Mongoose’s skill,Fast movement
Question,Desert survival,Special adaptations
Question,Reason animals hide,Escape heat
Question,Temperature difference,Day hot night cold
Question,Food scarcity,Common problem
