Question,Answer
A number which has exactly two factors is called a ______ number.,Prime
A number which has more than two factors is called a ______ number.,Composite
The smallest prime number is ______.,2
1 is neither a prime nor a composite number.,True
The factors of 12 are 1, 2, 3, 4, 6 and ______.,12
The common factors of 12 and 18 are ______.,1,2,3,6
The least common multiple (LCM) of 4 and 6 is ______.,12
The highest common factor (HCF) of 8 and 12 is ______.,4
Two numbers are said to be co-prime if their HCF is ______.,1
Every even number greater than 2 is a ______ number.,Composite
The smallest composite number is ______.,4
The smallest whole number is ______.,0
The smallest natural number is ______.,1
The sum of all factors of 1 is ______.,1
The factors of a prime number are always ______ and itself.,1
The LCM of two co-prime numbers is their ______.,Product
If a number is divisible by 2, its last digit is ______.,Even
If a number is divisible by 5, its last digit is ______.,0 or 5
If a number is divisible by 10, its last digit is ______.,0
A number divisible by 3 has the sum of its digits divisible by ______.,3
A number divisible by 9 has the sum of its digits divisible by ______.,9
The number 1 has exactly ______ factor.,One
The number 2 has exactly ______ factors.,Two
The HCF of two co-prime numbers is ______.,1
The LCM of 1 and any number is the ______.,Number itself
The HCF of 1 and any number is ______.,1
The product of two numbers is equal to the product of their ______ and ______.,HCF,LCM
If a number is divisible by 6, it must be divisible by both ______ and ______.,2,3
The numbers which have only one factor are called ______.,Unit numbers
The number 15 is divisible by ______ and ______.,3,5
The factors of 24 include ______.,6
The LCM of 3 and 5 is ______.,15
The HCF of 16 and 24 is ______.,8
The number 7 is a ______ number.,Prime
The number 21 is a ______ number.,Composite
The smallest even number is ______.,2
The smallest odd prime number is ______.,3
The common multiple of 4 and 5 is ______.,20
The HCF of 9 and 15 is ______.,3
The number 100 is divisible by ______.,4
If the last two digits of a number are divisible by 4, the number is divisible by ______.,4
The number 11 is a ______ number.,Prime
The number 1 is a ______ number.,Neither prime nor composite
The LCM of 2, 3 and 4 is ______.,12
The HCF of 18 and 27 is ______.,9
The number 35 is divisible by ______.,5
A number divisible by 8 has its last three digits divisible by ______.,8
The factors of 36 include ______.,9
