Question,Answer
A fraction represents a part of a __.,whole
The number above the line in a fraction is called the __.,numerator
The number below the line in a fraction is called the __.,denominator
A fraction with numerator greater than denominator is called a __ fraction.,improper
A fraction with numerator less than denominator is called a __ fraction.,proper
A fraction whose numerator is equal to denominator is called a __.,unit fraction
A fraction whose numerator is 1 is called a __ fraction.,unit
A fraction whose denominator is 1 is equal to a __.,whole number
Fractions with the same denominator are called __ fractions.,like
Fractions with different denominators are called __ fractions.,unlike
To add fractions with like denominators, __ the numerators and keep the denominator same.,add
To subtract fractions with like denominators, __ the numerators and keep the denominator same.,subtract
To add or subtract fractions with unlike denominators, first find the __.,LCM of denominators
The reciprocal of a fraction is obtained by __ numerator and denominator.,interchanging
A fraction is in simplest form when numerator and denominator have __.,HCF = 1
A fraction greater than 1 is called __ fraction.,improper
A mixed number consists of a __ and a fraction.,whole number
To convert an improper fraction to mixed number, divide numerator by __.,denominator
To convert a mixed number to improper fraction, multiply the whole number by __ and add numerator.,denominator
The product of two fractions is obtained by multiplying the __ and the __.,numerators,denominators
The reciprocal of 2/5 is __.,5/2
The reciprocal of 7/3 is __.,3/7
To divide fractions, multiply the first fraction by __ of the second.,reciprocal
A fraction equivalent to 3/4 is __.,6/8
A fraction equivalent to 5/6 is __.,10/12
The sum of 1/2 and 1/3 is __.,5/6
The difference of 7/8 and 1/4 is __.,5/8
The product of 2/3 and 3/4 is __.,1/2
The quotient of 3/5 ÷ 2/7 is __.,21/10
To compare fractions with different denominators, we use __.,LCM
1/2 + 1/4 + 1/8 = __.,7/8
The fraction 12/36 in simplest form is __.,1/3
The fraction 45/60 in simplest form is __.,3/4
The fraction 18/24 in simplest form is __.,3/4
The fraction 14/49 in simplest form is __.,2/7
To convert a mixed number 3 1/2 to improper fraction, it is __.,7/2
To convert 9/4 to mixed number, it is __.,2 1/4
The reciprocal of 1 is __.,1
The reciprocal of a negative fraction -2/3 is __.,-3/2
If numerator of a fraction is 0, the fraction is equal to __.,0
A fraction 5/1 is equal to __.,5
A fraction 0/7 is equal to __.,0
1/2 × 4/5 = __.,2/5
3/7 ÷ 2/5 = __.,15/14
The sum of 2/3 and 3/5 is __.,19/15
The difference of 7/10 and 2/5 is __.,3/10
The product of 5/6 and 3/4 is __.,5/8
The quotient of 9/10 ÷ 3/5 is __.,3/2
The fraction 8/12 in simplest form is __.,2/3
The fraction 21/35 in simplest form is __.,3/5
A mixed number 5 2/3 as an improper fraction is __.,17/3
