Question,Answer
Practical geometry deals with the __ of geometrical figures.,Construction
A ruler is used to draw a __ line.,Straight
A compass is used to draw __.,Circles
A compass is also used to draw __ arcs.,Arcs
A protractor is used to measure __.,Angles
The instrument used to draw circles is called __.,Compass
The instrument used to measure angles is called __.,Protractor
The instrument used to draw straight lines is called __.,Ruler
A point is represented by a __.,Dot
A line is represented by a __.,Straight line
A line segment has __ endpoints.,Two
A ray has __ endpoint.,One
To draw a circle, we need a __ and a pencil.,Compass
The fixed point of a compass is called the __.,Needle
The moving part of a compass holds the __.,Pencil
The distance from the centre to the boundary of a circle is called __.,Radius
The centre of a circle is the point where the __ of the compass is placed.,Needle
To draw an angle, we use a __.,Protractor
A protractor measures angles in __.,Degrees
A right angle measures __ degrees.,90
A straight angle measures __ degrees.,180
A complete angle measures __ degrees.,360
The instrument used to measure length is called __.,Ruler
The length of a line segment is measured in __.,Centimetres
The centre of a circle is marked before drawing the __.,Circle
Two circles having the same centre are called __ circles.,Concentric
A line segment drawn from the centre of a circle to its boundary is called __.,Radius
The diameter of a circle is __ times the radius.,Two
To draw perpendicular lines, we use a __.,Set square
The instrument used to draw right angles is called __.,Set square
A line that meets another line at 90° is called __.,Perpendicular
The point where two lines meet is called __.,Intersection
The angle less than 90° is called __ angle.,Acute
The angle greater than 90° is called __ angle.,Obtuse
A straight line can be drawn using a __.,Ruler
The curved line drawn with a compass is called an __.,Arc
The instrument used to draw parallel lines is a __.,Set square
The angle formed by two perpendicular lines is a __ angle.,Right
The centre of a circle is the __ point.,Middle
The distance across the circle through the centre is called __.,Diameter
The protractor is semicircular in __.,Shape
The smallest unit marked on a ruler is __.,Millimetre
The length of a pencil is measured using a __.,Ruler
The opening of the compass decides the __ of the circle.,Radius
To copy an angle, we use a __.,Protractor
The fixed arm of a compass has a __.,Needle
The movable arm of a compass has a __.,Pencil
The angle formed by a straight line is __ degrees.,180
The drawing of accurate figures is called __.,Construction
A triangle is drawn using a ruler and a __.,Compass
The angle of 0° is called __ angle.,Zero
