Question,Answer
The integer that comes before 0 is ______.,-1
The integer that comes after -1 is ______.,0
The sum of a positive and a negative integer is called ______.,Integer sum
The difference between two integers is obtained by ______.,Subtraction
The product of two positive integers is ______.,Positive
The product of two negative integers is ______.,Positive
The product of a positive and a negative integer is ______.,Negative
The sum of two negative integers is ______.,Negative
The sum of two positive integers is ______.,Positive
The opposite of -5 is ______.,5
The opposite of 7 is ______.,-7
0 is ______ integer.,Neither positive nor negative
Integers are denoted by the symbol ______.,Z
The smallest negative integer is ______.,-∞ (or conceptually -1, smallest in a set context)
The largest negative integer is ______.,-1
The additive inverse of an integer is the number which when added gives ______.,0
The sum of 15 and -7 is ______.,8
The sum of -12 and 5 is ______.,-7
The difference of -8 and 3 is ______.,-11
The difference of 6 and -4 is ______.,10
The product of -3 and -7 is ______.,21
The product of 4 and -5 is ______.,-20
The product of -6 and 8 is ______.,-48
The product of 0 and any integer is ______.,0
The sum of -9 and -6 is ______.,-15
The sum of 0 and any integer is ______.,That integer itself
The additive inverse of -11 is ______.,11
The additive inverse of 0 is ______.,0
The integers between -5 and 5 are ______.,-4,-3,-2,-1,0,1,2,3,4
The absolute value of -12 is ______.,12
The absolute value of 15 is ______.,15
The difference between two negative integers -8 and -3 is ______.,-5
The difference between two positive integers 9 and 4 is ______.,5
The sum of -7, 5 and -3 is ______.,-5
The sum of 8, -3 and -4 is ______.,1
The product of -2, 3 and -4 is ______.,24
The product of -1, -3 and 5 is ______.,15
The product of 0, -4 and 6 is ______.,0
The sum of consecutive integers -2 and 3 is ______.,1
The sum of consecutive integers -5, -2 and 6 is ______.,-1
The difference between -7 and -9 is ______.,2
The difference between -2 and 5 is ______.,-7
The absolute value of -25 plus the absolute value of 10 is ______.,35
The sum of -15 and -20 is ______.,-35
The sum of 12 and -17 is ______.,-5
The difference of -20 and -5 is ______.,-15
The difference of 7 and -8 is ______.,15
The product of -6 and 7 is ______.,-42
The product of 0 and -8 is ______.,0
The additive inverse of 25 is ______.,-25
The sum of -8, -12 and 5 is ______.,-15
