Question,Answer
India has a rich __________ of cultures and languages.,diversity
People in India follow different __________,religions
Diversity means variety or __________,difference
There are ________ officially recognized languages in India.,22
India is a _________ country,democratic
Different regions have different __________,climates
Food habits in India vary due to __________,culture
People wear different types of __________ in different states,clothes
India has many traditional forms of __________,arts
Festivals are celebrated according to local __________,customs
Different communities speak different __________,languages
The diversity of India can be seen in its __________,traditions
People live in different __________,regions
Clothing varies with climate and __________,tradition
Diversity includes differences in __________,appearance
India has multiple ethnic __________,groups
Cultural diversity strengthens national __________,unity
Religious diversity includes Hinduism, Islam, Sikhism, Christianity, and __________,Buddhism
Festivals like Diwali, Eid, Christmas, and _________ are celebrated,Holika
Music and dance forms reflect regional __________,culture
Different regions have different types of __________,housing
Cuisine varies with availability of local __________,ingredients
Traditional attire differs in rural and __________ areas,urban
Diversity can lead to __________ if not respected,tolerance
Languages include Hindi, Tamil, Telugu, Marathi, and __________,Bengali
People follow different __________ systems,marriage
Traditional __________ vary across India,artforms
Folk stories are part of oral __________,tradition
Different regions have different __________,clothing
India has a variety of __________,foods
People celebrate festivals in different __________,seasons
Architecture differs in northern and southern __________,India
Local __________ influence lifestyle,customs
Some communities follow matriarchal __________,systems
Regional diversity is reflected in __________ styles,architecture
Different communities have unique __________,dialects
Music differs in melody, rhythm, and __________,instruments
Dance forms like Bhangra, Garba, and __________ represent regions,Kathak
India's diversity is visible in __________,literature
Customs and traditions are passed down through __________,generations
Traditional occupations vary with __________,region
Some communities use __________ to represent social status,jewelry
Different languages have different __________,scripts
Education varies across __________,regions
Art and craft are part of __________ heritage,cultural
India's diversity promotes social __________,harmony
Festivals strengthen community __________,bonds
Regional differences can be seen in local __________,markets
Different communities have distinct __________,identities
Housing varies between hills, plains, and __________,coastal
Climate influences type of __________,agriculture
Diversity can be a source of __________ if respected,learning
Music, dance, and festivals reflect __________ diversity,cultural
Traditional knowledge is preserved by __________,communities
