Question,Answer
Panchayati Raj is a system of ________ government.,local
It works in ________ areas.,villages
The Panchayati Raj system was introduced by the ________.,Constitution
Gram Panchayat is the ________ level of Panchayati Raj.,village
Panchayat members are ________ by the villagers.,elected
The head of Gram Panchayat is called ________.,Sarpanch
Block Panchayat is also called ________.,Panchayat Samiti
Zila Parishad works at ________ level.,district
Panchayati Raj helps in local ________.,governance
It provides basic ________ to villagers.,services
Villagers can raise ________ in Panchayat meetings.,issues
Panchayati Raj promotes ________ participation.,democratic
Elections for Panchayati Raj are held at ________ intervals.,regular
Women have ________ representation in Panchayati Raj.,reserved
Gram Sabha includes all ________ of the village.,adult citizens
Panchayati Raj helps in implementing government ________.,schemes
Panchayat collects ________ for local development.,taxes
Local government plans for village ________.,development
Panchayati Raj ensures ________ for citizens.,accountability
Gram Panchayat works to improve ________ facilities.,infrastructure
Village disputes can be resolved in ________.,Gram Sabha
Panchayati Raj promotes ________ among villagers.,participation
Village head is responsible for ________ activities.,administrative
Panchayati Raj strengthens ________ democracy.,grassroots
Government schemes reach villagers through ________.,Panchayat
Panchayat members are elected by ________.,villagers
Panchayati Raj was formalized by the ________ amendment.,73rd
Local bodies have the power to make ________.,decisions
Village development is planned by ________.,Panchayat
Panchayati Raj helps in social ________.,justice
Villagers can attend ________ meetings.,Gram Sabha
Village funds are used for local ________.,projects
Panchayati Raj promotes ________ in rural areas.,welfare
Education and health schemes are implemented by ________.,Panchayat
Panchayat resolves disputes at the ________ level.,village
Panchayati Raj gives villagers a voice in ________.,governance
Local leaders are accountable to the ________.,community
Panchayati Raj helps improve ________ in villages.,sanitation
Villagers can suggest new ________ for development.,projects
Panchayat meetings are usually held in the ________.,village
Decisions in Panchayat are made by ________.,majority
Panchayati Raj encourages villagers to follow ________.,rules
Local government helps in maintaining ________ in villages.,law and order
Panchayat promotes ________ activities in the village.,development
Villagers can elect the ________ of Gram Panchayat.,Sarpanch
Panchayati Raj strengthens rural ________.,democracy
Panchayat monitors government ________ in the village.,schemes
Local governance is important for ________ development.,sustainable
