Chapter,Question,Answer
Fractions,Define a fraction.,A number representing part of a whole
Fractions,What is numerator?,The top part of a fraction
Fractions,What is denominator?,The bottom part of a fraction
Fractions,Simplify: 4/8,1/2
Fractions,Simplify: 15/20,3/4
Fractions,Add: 1/4 + 1/2,3/4
Fractions,Subtract: 5/6 - 1/3,1/2
Fractions,Multiply: 2/3 × 3/4,1/2
Fractions,Divide: 3/5 ÷ 2/5,3/2
Fractions,Convert improper fraction to mixed number: 9/4,2 1/4
Fractions,Convert mixed number to improper fraction: 2 1/3,7/3
Fractions,Compare: 3/4 and 2/3,3/4 > 2/3
Fractions,Equivalent fraction of 2/3 with denominator 9,6/9
Fractions,Equivalent fraction of 5/8 with denominator 32,20/32
Fractions,Add: 2/5 + 3/5,1
Fractions,Subtract: 7/8 - 1/4,5/8
Fractions,Multiply: 4/5 × 5/6,2/3
Fractions,Divide: 3/4 ÷ 1/2,3/2
Fractions,Simplify: 10/15,2/3
Fractions,Add: 1/6 + 1/3,1/2
Fractions,Subtract: 5/12 - 1/6,1/4
Fractions,Multiply: 7/8 × 2/7,1/4
Fractions,Divide: 9/10 ÷ 3/5,3/2
Fractions,What is a proper fraction?,A fraction with numerator < denominator
Fractions,What is an improper fraction?,A fraction with numerator > denominator
Fractions,What is a mixed fraction?,A whole number and a proper fraction combined
Fractions,Simplify: 12/16,3/4
Fractions,Add: 3/10 + 4/10,7/10
Fractions,Subtract: 9/12 - 1/4,1/2
Fractions,Multiply: 2/3 × 3/5,2/5
Fractions,Divide: 5/6 ÷ 2/3,5/4
Fractions,Compare: 5/8 and 3/4,5/8 < 3/4
Fractions,Equivalent fraction of 3/7 with denominator 21,9/21
Fractions,Equivalent fraction of 4/9 with denominator 27,12/27
Fractions,Add: 1/2 + 2/3,7/6
Fractions,Subtract: 5/6 - 1/2,1/3
Fractions,Multiply: 3/4 × 8/9,2/3
Fractions,Divide: 7/8 ÷ 7/16,2
Fractions,Add: 2/7 + 3/7,5/7
Fractions,Subtract: 9/10 - 3/5,3/10
Fractions,Multiply: 5/6 × 3/4,5/8
Fractions,Divide: 2/3 ÷ 4/9,3/2
Fractions,Compare: 7/12 and 5/12,7/12 > 5/12
Fractions,Equivalent fraction of 1/5 with denominator 25,5/25
Fractions,Equivalent fraction of 3/8 with denominator 32,12/32
Fractions,Simplify: 14/21,2/3
Fractions,Add: 1/3 + 1/6,1/2
Fractions,Subtract: 7/8 - 1/2,3/8
Fractions,Multiply: 4/5 × 5/9,4/9
Fractions,Divide: 3/7 ÷ 6/7,1/2
Fractions,Convert 9/4 to mixed number,2 1/4
Fractions,Convert 3 2/5 to improper fraction,17/5
