Chapter,Question,Answer
Decimals,Define a decimal number.,A number with a fractional part separated by a decimal point
Decimals,Write 3.75 in words,Three point seven five
Decimals,Write 0.5 as a fraction,1/2
Decimals,Write 0.25 as a fraction,1/4
Decimals,Add: 1.2 + 3.4,4.6
Decimals,Subtract: 5.6 - 2.3,3.3
Decimals,Multiply: 0.5 × 0.4,0.2
Decimals,Divide: 2.5 ÷ 0.5,5
Decimals,Convert 3/4 to decimal,0.75
Decimals,Convert 7/10 to decimal,0.7
Decimals,Compare: 0.5 and 0.55,0.5 < 0.55
Decimals,Compare: 1.25 and 1.2,1.25 > 1.2
Decimals,Write in decimal: 2 1/2,2.5
Decimals,Write in decimal: 3 3/4,3.75
Decimals,Round 3.76 to nearest whole number,4
Decimals,Round 4.34 to nearest whole number,4
Decimals,Round 5.678 to two decimal places,5.68
Decimals,Round 0.345 to two decimal places,0.35
Decimals,Add: 1.25 + 2.75,4
Decimals,Subtract: 5.5 - 3.25,2.25
Decimals,Multiply: 0.6 × 0.3,0.18
Decimals,Divide: 1.2 ÷ 0.4,3
Decimals,Convert 0.125 to fraction,1/8
Decimals,Convert 0.8 to fraction,4/5
Decimals,Add: 2.5 + 3.75,6.25
Decimals,Subtract: 4.6 - 1.35,3.25
Decimals,Multiply: 0.7 × 0.2,0.14
Decimals,Divide: 0.9 ÷ 0.3,3
Decimals,Write 0.333 in words,Zero point three three three
Decimals,Write 2.05 in words,Two point zero five
Decimals,Compare: 0.75 and 0.705,0.75 > 0.705
Decimals,Compare: 1.5 and 1.50,Equal
Decimals,Round 7.89 to nearest whole number,8
Decimals,Round 2.345 to one decimal place,2.3
Decimals,Round 6.754 to two decimal places,6.75
Decimals,Add: 0.45 + 0.55,1
Decimals,Subtract: 1.2 - 0.75,0.45
Decimals,Multiply: 0.25 × 0.4,0.1
Decimals,Divide: 0.6 ÷ 0.2,3
Decimals,Convert 7/8 to decimal,0.875
Decimals,Convert 9/20 to decimal,0.45
Decimals,Add: 1.25 + 0.75,2
Decimals,Subtract: 5.6 - 4.2,1.4
Decimals,Multiply: 0.5 × 0.5,0.25
Decimals,Divide: 0.8 ÷ 0.4,2
Decimals,Compare: 0.6 and 0.66,0.6 < 0.66
Decimals,Compare: 1.1 and 1.10,Equal
Decimals,Round 3.49 to nearest whole number,3
Decimals,Round 2.876 to two decimal places,2.88
Decimals,Write in decimal: 1 3/5,1.6
Decimals,Write in decimal: 4 7/10,4.7
