Chapter,Question,Answer
Algebra,Define algebra.,Branch of mathematics using letters to represent numbers
Algebra,What is a variable?,A letter representing an unknown number
Algebra,What is a constant?,A fixed number
Algebra,Write an expression: sum of x and 5,x + 5
Algebra,Write an expression: difference of y and 3,y - 3
Algebra,Write an expression: product of a and 4,4a
Algebra,Write an expression: quotient of b and 5,b/5
Algebra,Value of 2x + 3 when x=4,11
Algebra,Value of 3y - 5 when y=2,1
Algebra,Value of 5a + 2b when a=2, b=3,16
Algebra,Simplify: x + x + x,3x
Algebra,Simplify: 2y + 3y,5y
Algebra,Simplify: 4a - 2a,2a
Algebra,Simplify: 5b - 3b,2b
Algebra,Find value of 2x + 3y when x=1, y=2,8
Algebra,Find value of 3a - 2b when a=4, b=1,10
Algebra,Write expression for: sum of p and q, p + q
Algebra,Write expression for: difference of m and n, m - n
Algebra,Write expression for: product of x and y, x × y
Algebra,Write expression for: quotient of a and b, a/b
Algebra,What is coefficient?,Number multiplying a variable
Algebra,Find coefficient of x in 5x,5
Algebra,Find coefficient of y in -3y,-3
Algebra,Combine like terms: 2x + 3x,5x
Algebra,Combine like terms: 4y - y,3y
Algebra,Combine like terms: 3a + 2b,3a + 2b
Algebra,Expand: 2(x + 3),2x + 6
Algebra,Expand: 3(y - 4),3y - 12
Algebra,Factor: 5x + 10,5(x + 2)
Algebra,Factor: 6y - 12,6(y - 2)
Algebra,Value of 4x + 2y when x=2, y=3,14
Algebra,Value of 3a + b when a=5, b=4,19
Algebra,Simplify: 7x - 3x + 2,4x + 2
Algebra,Simplify: 5y + 2 - y,4y + 2
Algebra,Expand: 3(x + 5),3x + 15
Algebra,Expand: 4(y - 2),4y - 8
Algebra,Factor: 8x + 12,4(2x + 3)
Algebra,Factor: 9y - 6,3(3y - 2)
Algebra,Combine like terms: 2x + 3y + 4x + 2y,6x + 5y
Algebra,Combine like terms: a + b + 2a + 3b,3a + 4b
Algebra,Value of 5x + 3y when x=1, y=2,11
Algebra,Value of 2a + 4b when a=3, b=2,14
Algebra,Simplify: 3x + 4x - 5,7x - 5
Algebra,Simplify: 6y - 2y + 3,4y + 3
Algebra,Expand: 2(x + 7),2x + 14
Algebra,Expand: 5(y - 3),5y - 15
Algebra,Factor: 12x + 18,6(2x + 3)
Algebra,Factor: 10y - 15,5(2y - 3)
Algebra,Find value of 3x + 4y when x=2, y=1,10
Algebra,Find value of 2a + 5b when a=3, b=2,16
Algebra,Write expression for: sum of 2 variables m and n, m + n
Algebra,Write expression for: difference of 2 variables p and q, p - q
