Chapter,Question,Answer
Symmetry,Define symmetry.,A figure is symmetric if one half is mirror image of the other
Symmetry,What is line of symmetry?,A line that divides a figure into two identical halves
Symmetry,How many lines of symmetry does a square have?,4
Symmetry,How many lines of symmetry does a rectangle have?,2
Symmetry,How many lines of symmetry does an equilateral triangle have?,3
Symmetry,How many lines of symmetry does an isosceles triangle have?,1
Symmetry,How many lines of symmetry does a circle have?,Infinite
Symmetry,How many lines of symmetry does a regular pentagon have?,5
Symmetry,How many lines of symmetry does a regular hexagon have?,6
Symmetry,How many lines of symmetry does an arrow have?,1
Symmetry,Define rotational symmetry.,A figure looks the same after rotation by certain angle
Symmetry,Define order of rotational symmetry.,Number of times a figure coincides with itself in one full rotation
Symmetry,Order of rotational symmetry of square,4
Symmetry,Order of rotational symmetry of equilateral triangle,3
Symmetry,Order of rotational symmetry of rectangle,2
Symmetry,Order of rotational symmetry of circle,Infinite
Symmetry,Draw a figure with one line of symmetry,Example: isosceles triangle
Symmetry,Draw a figure with two lines of symmetry,Example: rectangle
Symmetry,Draw a figure with three lines of symmetry,Example: equilateral triangle
Symmetry,Draw a figure with four lines of symmetry,Example: square
Symmetry,Draw a figure with no line of symmetry,Example: scalene triangle
Symmetry,Define mirror image.,Reflection of a figure across a line
Symmetry,Identify if letter A has symmetry,Yes, vertical
Symmetry,Identify if letter H has symmetry,Yes, vertical and horizontal
Symmetry,Identify if letter Z has symmetry,No
Symmetry,Identify if letter T has symmetry,Yes, vertical
Symmetry,Identify if letter M has symmetry,Yes, vertical
Symmetry,Draw a figure with rotational symmetry of order 3,Equilateral triangle
Symmetry,Draw a figure with rotational symmetry of order 4,Square
Symmetry,Draw a figure with rotational symmetry of order 2,Rectangle
Symmetry,Draw a figure with rotational symmetry of order 1,Scalene triangle
Symmetry,Draw a figure with no rotational symmetry,Irregular shape
Symmetry,Define vertical symmetry.,Symmetry with vertical line dividing figure
Symmetry,Define horizontal symmetry.,Symmetry with horizontal line dividing figure
Symmetry,Which letters have vertical symmetry?,A,H,I,M,T,U,V,W,Y
Symmetry,Which letters have horizontal symmetry?,B,C,D,E,H,I,K,O,X
Symmetry,Which shapes have both vertical and horizontal symmetry?,Square, rectangle, circle
Symmetry,Which shapes have only vertical symmetry?,Isosceles triangle
Symmetry,Which shapes have no symmetry?,Scalene triangle, irregular shapes
Symmetry,Check symmetry of letter S,No
Symmetry,Check symmetry of letter X,Yes, vertical and horizontal
Symmetry,Check symmetry of letter O,Yes, infinite
Symmetry,Check symmetry of letter E,Yes, horizontal
Symmetry,Check symmetry of letter L,No
Symmetry,Draw line of symmetry for rectangle,Draw vertical and horizontal lines
Symmetry,Draw line of symmetry for triangle,Depends on type: equilateral 3, isosceles 1
Symmetry,Draw line of symmetry for circle,Any line through center
Symmetry,Draw line of symmetry for square,4 lines through sides and diagonals
Symmetry,Draw line of symmetry for letter A,Vertical line
Symmetry,Draw line of symmetry for letter H,Vertical and horizontal lines
Symmetry,Draw line of symmetry for letter T,Vertical line
