Question,Answer
What is the smallest whole number?,0
Write the first three whole numbers.,0, 1, 2
Is 0 a whole number?,Yes
Write any two whole numbers.,Example: 3, 7
What is the successor of 9?,10
What is the predecessor of 5?,4
How many whole numbers are there?,Infinitely many
Is 15 a whole number?,Yes
Write the whole numbers between 2 and 5.,3, 4
What is the successor of 0?,1
What is the predecessor of 1?,0
Are negative numbers whole numbers?,No
Write the successor of 99.,100
Write the predecessor of 10.,9
Name the set of numbers that include 0 and natural numbers.,Whole numbers
Is 0 included in whole numbers?,Yes
Write any one whole number.,Example: 8
What is the successor of 19?,20
What is the predecessor of 20?,19
Are whole numbers infinite?,Yes
Write the whole numbers between 4 and 7.,5, 6
Is 1 a whole number?,Yes
Write the successor of 49.,50
Write the predecessor of 100.,99
Are fractions whole numbers?,No
Write the smallest whole number.,0
Write any three whole numbers.,Example: 2, 5, 9
What is the successor of 199?,200
What is the predecessor of 2?,1
Are decimals whole numbers?,No
Write the whole numbers less than 3.,0, 1, 2
Is 10 a whole number?,Yes
Write the successor of 0.,1
Write the predecessor of 0.,-1 (not a whole number)
Is -1 a whole number?,No
Write any two whole numbers greater than 5.,Example: 6, 7
How many whole numbers are between 3 and 4?,0
Write the whole numbers between 6 and 9.,7, 8
What is the successor of 500?,501
What is the predecessor of 500?,499
Is 100 a whole number?,Yes
Write any one whole number less than 10.,Example: 7
Are negative numbers included in whole numbers?,No
Write the successor of 1.,2
Write the predecessor of 3.,2
Write the smallest whole number.,0
What are whole numbers?,Counting numbers including 0
Are whole numbers countable?,Yes (they can be counted)
