Question,Answer
The poem is about a flying ________.,kite
The kite flies high in the ________.,sky
The kite moves with the help of the ________.,wind
The kite’s tail is long and ________.,thin
The kite looks bright and ________.,beautiful
The kite pulls against the ________.,string
The wind makes the kite ________.,dance
The kite climbs higher and ________.,higher
The kite flaps like a ________.,bird
The kite needs strong ________.,wind
The kite twists and ________.,turns
The kite is tied with a ________.,string
The kite moves freely in the ________.,air
The wind is very ________.,strong
The kite goes up with a sudden ________.,rush
The kite makes a loud ________.,noise
The kite’s tail moves from side to ________.,side
The kite falls when the wind is ________.,weak
The kite struggles against the ________.,wind
The kite flies best in a ________.,breeze
The poem describes the kite’s ________.,movement
The kite soars high above the ________.,ground
The kite dips and ________.,dives
The kite flutters like a ________.,flag
The kite looks like it is ________.,alive
The wind controls the kite’s ________.,flight
The kite is pulled tight by the ________.,string
The kite flies joyfully in the open ________.,sky
The kite bends with the force of the ________.,wind
The kite goes up with a sudden ________.,pull
The kite struggles but keeps ________.,flying
The kite’s motion is fast and ________.,swift
The kite responds to the changing ________.,wind
The poem shows the kite’s ________.,energy
The kite can rise and ________.,fall
The wind makes the kite ________.,leap
The kite shakes and ________.,shivers
The kite flies like a living ________.,thing
The kite needs balance to ________.,fly
The kite dances happily in the ________.,air
The kite’s tail helps it stay ________.,steady
The kite is controlled from the ________.,ground
The kite moves up when the wind is ________.,strong
The kite sinks when the wind becomes ________.,slow
The poem shows nature’s ________.,power
The kite struggles to stay ________.,aloft
The kite’s flight depends on the ________.,wind
The poem ends with the kite still ________.,flying
