Question,Answer
The story is about a big ________.,banyan tree
The banyan tree stood near a ________.,river
The narrator was a young ________.,boy
The boy lived with his ________.,grandparents
The banyan tree had many hanging ________.,roots
The boy liked to sit in the ________.,tree
The tree was full of ________.,birds
A huge python lived in the ________.,tree
The python was very ________.,big
The boy once saw a fight between animals in the ________.,tree
A mongoose fought with a ________.,snake
The snake was a ________.,cobra
The mongoose was very ________.,brave
The fight lasted for a long ________.,time
The boy watched the fight with great ________.,interest
The cobra tried to bite the ________.,mongoose
The mongoose jumped very ________.,quickly
The birds made loud ________.,noise
The banyan tree was like a ________.,house
The tree provided ________ to many animals.,shelter
The boy climbed the tree ________.,often
The tree was very ________.,old
The python never harmed the ________.,boy
The boy felt ________ near the tree.,safe
The fight happened one ________.,day
The mongoose attacked the snake’s ________.,head
The snake was finally ________.,defeated
The birds flew away in ________.,fear
The banyan tree was a place of ________.,adventure
The boy enjoyed watching ________.,nature
The tree stood like a giant ________.,umbrella
The fight was between ________ and snake.,mongoose
The boy learned about animal ________.,behavior
The python stayed very ________.,still
The banyan tree had thick ________.,branches
The tree protected animals from ________.,danger
The boy spent many hours in the ________.,tree
The banyan tree was part of the boy’s ________.,childhood
The fight showed the law of ________.,nature
The boy felt excited and ________.,curious
The tree was home to many ________.,creatures
The banyan tree stood near the ________.,house
The narrator loved the banyan tree very ________.,much
The tree was a natural ________.,shelter
The boy learned lessons from ________.,nature
The banyan tree was silent after the ________.,fight
The story describes life around a ________.,tree
The banyan tree was a place of ________.,learning
