Question,Answer
Define algebra.,A branch of mathematics using letters and symbols to represent numbers.
What is a variable?,A letter representing an unknown value.
What is a constant?,A fixed number in an algebraic expression.
Write an algebraic expression for “sum of a number and 7”.,x + 7
Write an algebraic expression for “difference of a number and 5”.,x - 5
Write an algebraic expression for “product of a number and 4”.,4x
Write an algebraic expression for “quotient of a number and 3”.,x/3
Simplify: x + x,2x
Simplify: 2x + 3x,5x
Simplify: 5x - 2x,3x
Simplify: 3x + 4y,3x + 4y
Simplify: 2a + 3b - a + b,a + 4b
Evaluate: x + 5 for x = 7,12
Evaluate: 3x - 4 for x = 6,14
Evaluate: 2a + 3b for a=2, b=3,13
Write an equation for “a number increased by 7 is 12”.,x + 7 = 12
Solve: x + 5 = 10,5
Solve: 3x - 4 = 11,5
Solve: 2x + 3 = 11,4
Solve: 5x = 20,4
Write an equation for “twice a number decreased by 3 is 9”.,2x - 3 = 9
Simplify: x + 2y - 3x + y,-2x + 3y
Simplify: 5a - 3a + 2b,2a + 2b
Simplify: 4x + 3y - 2x - y,2x + 2y
Factorize: 2x + 6,2(x + 3)
Factorize: 3a + 12,3(a + 4)
Factorize: 5x + 10,5(x + 2)
Expand: (x + 3) + (x + 5),2x + 8
Expand: (a + 2) + (3a + 4),4a + 6
Form an equation: “3 more than a number is 8”.,x + 3 = 8
Form an equation: “5 less than a number is 7”.,x - 5 = 7
Solve: x/2 + 3 = 7,8
Solve: 2x/3 = 8,12
Evaluate: 3x + 2y for x=1, y=2,7
Evaluate: 5a - 3b for a=2, b=1,7
Simplify: 2x + 3y - x + y,x + 4y
Simplify: 4p - 2q + 3p - q,7p - 3q
Solve: x - 7 = 5,12
Solve: 4x + 2 = 18,4
Factorize: 6x + 9,3(2x + 3)
Factorize: 8a + 12,4(2a + 3)
Form an expression: “twice a number plus 5”.,2x + 5
Form an expression: “number minus 7”.,x - 7
Expand: (2x + 3) + (3x + 5),5x + 8
Expand: (a + 2) + (2a + 3),3a + 5
Simplify: x + y + x + y,2x + 2y
Evaluate: 4x - 3y for x=2, y=1,5
