Chapter,Question,Answer
Practical Geometry,Define practical geometry.,Branch of geometry dealing with drawing shapes using instruments
Practical Geometry,Name the instruments used in practical geometry.,Compass, ruler, protractor, set squares, divider
Practical Geometry,What is a compass used for?,Drawing circles and arcs
Practical Geometry,What is a ruler used for?,Measuring and drawing straight lines
Practical Geometry,What is a protractor used for?,Measuring and drawing angles
Practical Geometry,Draw a line segment of 5 cm,Use ruler to draw 5 cm line
Practical Geometry,Draw a circle of radius 4 cm,Use compass set to 4 cm
Practical Geometry,Draw an equilateral triangle of side 6 cm,Use ruler to draw sides and compass for arcs
Practical Geometry,Draw a rectangle of length 7 cm and breadth 4 cm,Draw using ruler
Practical Geometry,Draw a square of side 5 cm,Draw using ruler
Practical Geometry,Draw a right-angled triangle with base 6 cm and height 4 cm,Draw perpendiculars using set square
Practical Geometry,Draw an angle of 60 degrees,Use protractor
Practical Geometry,Draw an angle of 90 degrees,Use protractor or set square
Practical Geometry,Draw an angle of 120 degrees,Use protractor
Practical Geometry,Draw a circle passing through a given point,Use compass with center at another point
Practical Geometry,Draw two intersecting lines,Use ruler to draw
Practical Geometry,Draw a line perpendicular to a given line from a point on it,Use set square or compass method
Practical Geometry,Draw a line perpendicular to a given line from a point outside it,Use compass method
Practical Geometry,Draw a bisector of a given angle,Use compass to mark arcs and join
Practical Geometry,Draw a bisector of a line segment,Use compass to mark arcs from ends
Practical Geometry,Draw a triangle given all three sides (SSS),Use ruler and compass
Practical Geometry,Draw a triangle given two sides and included angle (SAS),Use ruler and protractor
Practical Geometry,Draw a triangle given base, height, and angle (BHA),Use ruler and protractor
Practical Geometry,Construct a circle touching two points,Use compass for arcs
Practical Geometry,Draw a tangent to a circle from an external point,Use compass and ruler
Practical Geometry,Construct perpendicular bisector of a triangle,Use compass from vertices
Practical Geometry,Draw a quadrilateral given four sides and one angle,Use ruler and protractor
Practical Geometry,Construct a circle inside a triangle,Use angle bisectors to find incenter
Practical Geometry,Draw a rhombus given side and angle,Use ruler and protractor
Practical Geometry,Draw a parallelogram given base, side, and angle,Use ruler and protractor
Practical Geometry,Draw a trapezium given sides and height,Use ruler and set square
Practical Geometry,Draw a square using only compass,Use compass to mark arcs and join points
Practical Geometry,Draw a rectangle using only compass and straightedge,Use compass to replicate sides
Practical Geometry,Draw an isosceles triangle given base and sides,Use ruler and compass
Practical Geometry,Draw a circle with given diameter,Use compass set to radius = diameter/2
Practical Geometry,Draw a semicircle on a given line segment,Use compass with segment as diameter
Practical Geometry,Construct angle of 45 degrees,Bisect 90-degree angle using compass
Practical Geometry,Construct angle of 30 degrees,Bisect 60-degree angle using compass
Practical Geometry,Draw a triangle with given perimeter,Mark sides using ruler summing to perimeter
Practical Geometry,Draw tangent from point on circle,Use ruler to draw line perpendicular to radius at point
Practical Geometry,Draw tangent from point outside circle,Use compass and ruler
Practical Geometry,Construct triangle given base and two angles (ASA),Use protractor and ruler
Practical Geometry,Construct triangle given two sides and an angle (SAS),Use ruler and protractor
Practical Geometry,Draw two parallel lines at given distance,Use ruler and set square or compass
Practical Geometry,Construct perpendicular from vertex to opposite side in triangle,Use compass to locate foot
Practical Geometry,Draw regular pentagon using compass,Use circle and angles
Practical Geometry,Draw regular hexagon using compass,Use circle and radius
Practical Geometry,Draw regular octagon using compass,Use circle and divide 360 by 8
Practical Geometry,Construct line dividing angle into three equal parts (trisection),Use compass method
Practical Geometry,Draw perpendicular from external point to given line,Use compass method
Practical Geometry,Construct circumcircle of a triangle,Draw perpendicular bisectors of sides to meet at circumcenter
Practical Geometry,Construct incircle of a triangle,Draw angle bisectors to meet at incenter
Practical Geometry,Draw two congruent triangles,Use ruler and compass to replicate sides and angles
Practical Geometry,Construct a square inside a circle,Use compass for circle and mark vertices on circumference
