Chapter,Question,Answer
Integers,Define integers.,All positive and negative whole numbers including zero
Integers,Give examples of positive integers.,1, 2, 3, 4,5
Integers,Give examples of negative integers.,-1, -2, -3, -4,-5
Integers,Is zero an integer?,Yes
Integers,Which is greater, -2 or -5?, -2
Integers,Add: 5 + (-3)?,2
Integers,Subtract: -4 - 2?, -6
Integers,Multiply: 3 × (-2)?, -6
Integers,Divide: -12 ÷ 3?, -4
Integers,Add: -7 + 10?,3
Integers,Subtract: 8 - (-5)?,13
Integers,Multiply: -4 × (-5)?,20
Integers,Divide: 15 ÷ (-3)?, -5
Integers,Which is smaller, -8 or 0?, -8
Integers,Add: -6 + (-3)?, -9
Integers,Subtract: -7 - (-2)?, -5
Integers,Multiply: 0 × (-9)?,0
Integers,Divide: 0 ÷ 5?,0
Integers,Add: 12 + (-12)?,0
Integers,Subtract: -15 - 5?, -20
Integers,Multiply: -7 × 2?, -14
Integers,Divide: -20 ÷ (-5)?,4
Integers,Add: -3 + 7?,4
Integers,Subtract: 5 - (-3)?,8
Integers,Multiply: 6 × (-3)?, -18
Integers,Divide: -18 ÷ 6?, -3
Integers,Add: -9 + (-4)?, -13
Integers,Subtract: -10 - (-7)?, -3
Integers,Multiply: -2 × (-8)?,16
Integers,Divide: 24 ÷ (-6)?, -4
Integers,Which is greater, -1 or -10?, -1
Integers,Add: -5 + 0?, -5
Integers,Subtract: 0 - (-6)?,6
Integers,Multiply: 0 × 7?,0
Integers,Divide: 0 ÷ (-4)?,0
Integers,Add: -2 + (-3)?, -5
Integers,Subtract: 8 - 12?, -4
Integers,Multiply: -5 × 0?,0
Integers,Divide: -16 ÷ 4?, -4
Integers,Add: 7 + (-10)?, -3
Integers,Subtract: -6 - 9?, -15
Integers,Multiply: -3 × (-7)?,21
Integers,Divide: -21 ÷ (-7)?,3
Integers,Which integer lies between -2 and 3?,0,1,2,0
Integers,Add: -8 + 5?, -3
Integers,Subtract: -9 - (-3)?, -6
Integers,Multiply: -4 × 1?, -4
Integers,Divide: -12 ÷ (-3)?,4
Integers,Which integer is opposite of 7?, -7
Integers,Which integer is opposite of -12?,12
