Question,Answer
Define algebra.,Algebra is a branch of mathematics where letters or symbols represent numbers.
What is a variable?,A symbol or letter representing an unknown number.
What is a constant?,A fixed number in an algebraic expression.
Define term.,A term is a number, variable, or combination separated by + or – signs.
Define coefficient.,A number multiplied with a variable in a term.
Write the terms in 5x + 3y – 7.,5x, 3y, -7
Write the coefficient of x in 7x – 4.,7
Write the coefficient of y in 3y + 5.,3
Simplify: x + x + x.,3x
Simplify: 2a + 3a.,5a
Simplify: 5x – 2x.,3x
Simplify: 7y – 4y + y.,4y
Simplify: 3m + 2n – m.,2m + 2n
Write an algebraic expression for: sum of a number and 5.,x + 5
Write an algebraic expression for: twice a number minus 3.,2x – 3
Write an algebraic expression for: product of a number and 7.,7x
Write an algebraic expression for: difference between a number and 9.,x – 9
Write an algebraic expression for: sum of twice a number and 3.,2x + 3
Evaluate: 5x when x = 3.,15
Evaluate: 2y + 3 when y = 4.,11
Evaluate: 3a – 5 when a = 6.,13
Evaluate: 4m + 2n when m = 2, n = 3.,14
Evaluate: 2x + 3y when x = 1, y = 2.,8
Identify like terms in: 3x + 5y – 2x + 7y.,3x and -2x, 5y and 7y
Identify unlike terms in: 3a + 5b – 2a + 7c.,3a and -2a, 5b and 7c
Add: 3x + 5x.,8x
Add: 4a + 7a + 2a.,13a
Subtract: 7x – 3x.,4x
Subtract: 5a + 3b – 2a – b.,3a + 2b
Multiply: 2 × (3x + 5).,6x + 10
Multiply: 3 × (2a + 4b).,6a + 12b
Divide: (6x + 12) ÷ 3.,2x + 4
Form an equation: a number plus 5 equals 12.,x + 5 = 12
Form an equation: twice a number is 14.,2x = 14
Form an equation: a number minus 7 equals 3.,x – 7 = 3
Form an equation: three times a number plus 4 equals 13.,3x + 4 = 13
Solve x + 5 = 12.,x = 7
Solve 2x = 14.,x = 7
Solve x – 7 = 3.,x = 10
Solve 3x + 4 = 13.,x = 3
Express the sum of a number x and 7.,x + 7
Express the difference of a number y and 5.,y – 5
Express the product of a number z and 6.,6z
Express the quotient of a number a and 3.,a/3
Evaluate: 3x + 2y when x=2, y=3.,12
Simplify: 5p + 3q – 2p + q.,3p + 4q
Identify the coefficient of y in 7y + 5x.,7
Identify the constant term in 4x + 5.,5
