Question,Answer
Define practical geometry.,Geometry involving construction of shapes using instruments.
Name the basic instruments used in geometry.,Compass, ruler, protractor, set square
Define a point.,A precise location in space.
Define a line.,A straight path extending infinitely in both directions.
Define a line segment.,A part of a line with two endpoints.
Define a ray.,A part of a line with one endpoint extending infinitely in one direction.
Define an angle.,The figure formed by two rays with common endpoint.
Name types of angles.,Acute, right, obtuse, straight, reflex
Define perpendicular lines.,Lines that intersect at 90°.
Define parallel lines.,Lines that never meet.
Construct a perpendicular bisector of a line segment.,Draw a line dividing the segment into two equal parts at 90°.
Construct a perpendicular from a point on a line.,Draw line through point at 90° to original line.
Construct a perpendicular from a point outside a line.,Use compass to mark equal arcs and join intersection points.
Construct a bisector of an angle.,Draw line dividing the angle into two equal angles.
Construct an equilateral triangle with side 5 cm.,Use compass to draw arcs intersecting at equal distances.
Draw a square with side 6 cm.,Use ruler to mark equal sides and right angles.
Draw a rectangle with length 8 cm and width 5 cm.,Use ruler to mark sides and right angles.
Draw a circle with radius 4 cm.,Use compass.
Draw a tangent to a circle from a point on the circle.,Draw line touching circle at single point.
Draw a tangent to a circle from a point outside the circle.,Join point to circle center, draw perpendicular to radius at point of contact.
Construct a parallelogram with sides 6 cm and 4 cm.,Draw adjacent sides, use compass to complete parallelogram.
Construct a rhombus with side 5 cm.,Draw equal sides and opposite angles equal.
Draw a trapezium with parallel sides 6 cm and 4 cm, height 3 cm.,Draw parallel sides, connect endpoints.
Construct a triangle with sides 5 cm, 6 cm, 7 cm.,Use ruler and compass to draw.
Construct right-angled triangle with base 5 cm and height 4 cm.,Draw perpendicular height, complete triangle.
Draw a circle passing through three given points.,Use compass to draw circle through all three points.
Draw two concentric circles.,Draw two circles with same center, different radii.
Construct an angle of 60°.,Use compass or protractor.
Construct an angle of 45°.,Use compass or protractor.
Construct an angle of 90°.,Use set square or compass.
Construct a triangle given base and two angles.,Draw base, use protractor to mark angles, complete triangle.
Draw a circle with diameter 8 cm.,Use compass with radius 4 cm.
Draw a tangent to circle using point on circumference.,Draw line touching at one point.
Construct perpendicular bisector of triangle side.,Draw line dividing side into equal halves at 90°.
Construct median of triangle from vertex.,Draw line from vertex to midpoint of opposite side.
Construct altitude of triangle from vertex.,Draw perpendicular from vertex to opposite side.
Construct angle bisector of 120°,Use compass arcs to divide angle.
Draw regular pentagon using compass.,Use step construction method or side lengths.
Draw regular hexagon using compass.,Draw circle, mark six points, join points.
Draw regular octagon using compass.,Use circle and method of side division.
Draw rectangle with given diagonal and one side.,Use Pythagoras theorem to mark other side.
Construct rhombus given diagonals.,Draw diagonals intersecting at 90°, join vertices.
Draw kite with given adjacent sides.,Draw sides with compass, complete kite.
Draw parallelogram given sides and angle.,Draw sides with ruler and set angle with protractor.
Construct square using diagonal.,Draw diagonal, use compass to get other vertices.
Construct circle tangent to two given circles.,Use external tangent construction method.
Construct triangle with given perimeter and base.,Mark base, use compass for remaining sides.
Construct isosceles triangle with given base and sides.,Draw base, use compass to mark equal sides.
Construct right triangle with given hypotenuse and side.,Draw hypotenuse, mark side perpendicular.
Draw a rectangle using diagonals.,Draw diagonals, find intersection, construct rectangle.
