Question,Answer
Define ratio.,A ratio is a comparison of two quantities by division.
Write the ratio of 4 to 5.,4:5
Write the ratio of 10 to 2.,10:2 or 5:1
Simplify the ratio 12:16.,3:4
Simplify the ratio 18:24.,3:4
Define proportion.,A proportion is an equation stating that two ratios are equal.
Example of proportion.,2:3 = 4:6
Find the fourth term in proportion 2:3 = ? : 9.,6
Find the missing term in 5:8 = 15:?,24
Check if 3:4 = 6:8 forms a proportion.,Yes
Check if 2:5 = 4:10 forms a proportion.,No
Write ratio of 7 kg to 14 kg.,1:2
Write ratio of 15 m to 5 m.,3:1
Simplify 9:12.,3:4
Simplify 20:30.,2:3
Express 3:4 as fraction.,3/4
Express 7:2 as fraction.,7/2
Multiply both terms of 2:5 by 3.,6:15
Divide both terms of 12:18 by 6.,2:3
Find fourth term: 7:9 = ? : 27.,21
Find fourth term: 4:5 = ? : 20.,16
Check if 5:6 = 10:12 is a proportion.,Yes
Check if 3:8 = 9:20 is a proportion.,No
Add ratios 2:3 and 4:5.,(10:15 + 12:15) = 22:15
Subtract ratios 7:9 – 2:9.,5:9
Define equivalent ratios.,Ratios that represent the same relationship.
Example of equivalent ratios.,2:3 and 4:6
Simplify ratio 16:24.,2:3
Simplify ratio 18:27.,2:3
Find fourth term: 3:7 = ? : 21.,9
Find missing term: 6:8 = ? : 24.,18
Compare ratios 3:4 and 6:8.,Equal
Compare ratios 2:5 and 4:10.,Equal
Compare ratios 3:5 and 6:10.,Equal
Compare ratios 2:3 and 4:5.,Not equal
Express 5:2 as fraction.,5/2
Express 9:4 as fraction.,9/4
Find ratio of 12 m to 3 m.,4:1
Find ratio of 18 kg to 6 kg.,3:1
Write ratio of 14:21 in simplest form.,2:3
Write ratio of 30:45 in simplest form.,2:3
Check proportion 5:6 = 10:12.,Yes
Check proportion 2:3 = 4:7.,No
Multiply both terms of 3:5 by 2.,6:10
Divide both terms of 12:16 by 4.,3:4
Find fourth term: 5:8 = ? : 32.,20
Find fourth term: 7:3 = ? : 21.,9
Simplify ratio 15:25.,3:5
Compare 4:7 and 8:14.,Equal
Compare 5:9 and 10:18.,Equal
Compare 6:8 and 3:4.,Equal
Find missing term in 2:5 = ? : 15.,6
