Chapter,Question,Answer
Ratio and Proportion,Define ratio.,Comparison of two quantities by division
Ratio and Proportion,Write ratio of 3 to 4,3:4
Ratio and Proportion,Write ratio of 10 to 5,2:1
Ratio and Proportion,Simplify the ratio 15:25,3:5
Ratio and Proportion,If a:b = 2:3, find b:a,3:2
Ratio and Proportion,Define proportion.,Equation stating two ratios are equal
Ratio and Proportion,Check if 2:3 and 4:6 are in proportion,Yes
Ratio and Proportion,Find fourth term if 3:4 = 6:x,8
Ratio and Proportion,Find missing term x in 5:7 = 15:x,21
Ratio and Proportion,Write ratio of 12 boys to 8 girls,3:2
Ratio and Proportion,Write ratio of 20 pens to 30 pencils,2:3
Ratio and Proportion,Find ratio of 0.5 to 2,1:4
Ratio and Proportion,Find ratio of 7/2 to 14/3,3:4
Ratio and Proportion,Simplify 18:24,3:4
Ratio and Proportion,Check if 4:5 = 8:10,Yes
Ratio and Proportion,Find missing x: 7:9 = x:27,21
Ratio and Proportion,Find missing x: 5:6 = 15:x,18
Ratio and Proportion,Convert 2:3 into fraction,2/3
Ratio and Proportion,Convert 4:5 into fraction,4/5
Ratio and Proportion,If a:b = 3:4, find 2a:3b,6:12
Ratio and Proportion,If x:y = 5:6, find 3x:2y,15:12
Ratio and Proportion,Find fourth term if 9:12 = x:16,12
Ratio and Proportion,Find fourth term if 7:10 = 14:x,20
Ratio and Proportion,Write ratio in simplest form: 36:48,3:4
Ratio and Proportion,Write ratio in simplest form: 50:75,2:3
Ratio and Proportion,Check if 2/3 = 4/6,Yes
Ratio and Proportion,Check if 5:8 = 15:24,Yes
Ratio and Proportion,Find missing term: 3:7 = x:21,9
Ratio and Proportion,Find missing term: 6:5 = 18:x,15
Ratio and Proportion,Convert fraction 3/4 to ratio,3:4
Ratio and Proportion,Convert fraction 7/9 to ratio,7:9
Ratio and Proportion,Add ratios 2:3 and 3:4,17:12
Ratio and Proportion,Subtract ratios 5:6 - 1:2,4:3
Ratio and Proportion,Multiply ratios 2:3 × 3:5,2:5
Ratio and Proportion,Divide ratios 6:7 ÷ 3:4,8:7
Ratio and Proportion,Simplify ratio 40:60,2:3
Ratio and Proportion,Simplify ratio 100:150,2:3
Ratio and Proportion,Find x if 2:3 = x:9,6
Ratio and Proportion,Find x if 4:5 = 16:x,20
Ratio and Proportion,Write ratio of 10 apples to 15 oranges,2:3
Ratio and Proportion,Write ratio of 8 meters to 2 meters,4:1
Ratio and Proportion,Convert 5:6 to fraction,5/6
Ratio and Proportion,Convert 7:8 to fraction,7/8
Ratio and Proportion,Find fourth term if 5:9 = x:27,15
Ratio and Proportion,Find fourth term if 2:3 = x:12,8
Ratio and Proportion,Check if 3:5 = 9:15,Yes
Ratio and Proportion,Check if 7:10 = 14:20,Yes
Ratio and Proportion,Simplify ratio 21:49,3:7
Ratio and Proportion,Simplify ratio 30:45,2:3
Ratio and Proportion,Find missing term x: 8:12 = x:18,12
