Question,Answer
What is the smallest whole number?,0
Write the predecessor of 1.,0
Write the successor of 999.,1000
Does 0 have a predecessor in whole numbers?,No
Is subtraction always possible in whole numbers?,No
Find the successor of 0.,1
Find the predecessor of 10.,9
What is the additive identity of whole numbers?,0
What is the multiplicative identity of whole numbers?,1
Is division closed in whole numbers?,No
Find 125 - 125.,0
Find 0 × 456.,0
Find the successor of the largest 3-digit whole number.,1000
What is the largest 2-digit whole number?,99
What is the smallest 3-digit whole number?,100
Is 0 a whole number?,Yes
Write the predecessor of 0.,Not defined
Is 3 ÷ 2 a whole number?,No
Find 45 + 55.,100
Find 12 × 11.,132
Name the property: a + b = b + a.,Commutative property
Name the property: (a + b) + c = a + (b + c).,Associative property
Name the property: a × (b + c) = (a × b) + (a × c).,Distributive property
Which number acts as identity in addition?,0
Which number acts as identity in multiplication?,1
Find the successor of 1000.,1001
Is 0 × 0 a whole number?,Yes
Is 0 ÷ 5 a whole number?,Yes (0)
Is 5 ÷ 0 defined in whole numbers?,No
Write two whole numbers whose difference is not a whole number.,2 and 5
Find the predecessor of 100.,99
Find the successor of 49.,50
Are whole numbers infinite?,Yes
Write the smallest whole number greater than 999.,1000
Find 0 + 999.,999
What is the predecessor of the smallest whole number?,Not defined
Find 200 − 150.,50
Is closure property true for multiplication of whole numbers?,Yes
Is closure property true for subtraction of whole numbers?,No
Find 9 × 0.,0
What is the result of 1 × 0?,0
Find the successor of 1.,2
Write the predecessor of 50.,49
Is 1 ÷ 1 a whole number?,Yes
Is 2 ÷ 3 a whole number?,No
Write any one whole number which has no predecessor.,0
How many whole numbers are there?,Infinite
Find the successor of the largest 4-digit whole number.,10000
Write the smallest whole number greater than 0.,1
