Question,Answer
Define a prime number.,A number with exactly 2 factors: 1 and itself
Define a composite number.,A number with more than 2 factors
Give an example of a prime number between 10 and 20.,11
Give an example of a composite number between 10 and 20.,12
Find the HCF of 18 and 24.,6
Find the LCM of 6 and 8.,24
Write the prime factorization of 36.,2²×3²
Write the prime factorization of 60.,2²×3×5
Find the HCF of 56 and 98 using prime factorization.,14
Find the LCM of 4, 5 and 10.,20
Check whether 29 is prime or composite.,Prime
Check whether 45 is prime or composite.,Composite
Find the HCF of 30, 45 and 60.,15
Find the LCM of 12 and 15.,60
Write the first five multiples of 7.,7,14,21,28,35
Write the first five multiples of 9.,9,18,27,36,45
Find the HCF of 40 and 60 using division method.,20
Find the LCM of 8, 12 and 20.,120
Find the HCF of 48, 64 and 80.,16
Find the LCM of 5, 6 and 15.,30
Find the HCF of 100 and 75 using division method.,25
Check whether 1 is prime or composite.,Neither prime nor composite
Check whether 2 is prime or composite.,Prime
Find the smallest prime number.,2
Find the smallest composite number.,4
State the condition for two numbers to be co-prime.,Their HCF is 1
Find the HCF of 9 and 12 using prime factorization.,3
Find the LCM of 3 and 4 using prime factorization.,12
List the factors of 24.,1,2,3,4,6,8,12,24
List the factors of 36.,1,2,3,4,6,9,12,18,36
List the common factors of 12 and 18.,1,2,3,6
List the common multiples of 3 and 4 less than 50.,12,24,36,48
Find the HCF of 18, 24 and 30.,6
Find the LCM of 2, 3 and 4.,12
If a number is divisible by 2, what type of number is it?,Even number
If a number is divisible by 5, what digit does it end with?,0 or 5
If a number is divisible by 10, what digit does it end with?,0
Explain the distributive property of multiplication over addition.,a×(b+c)=a×b + a×c
Find HCF and LCM of 8 and 12.,HCF=4, LCM=24
Find the LCM of 6, 8 and 12.,24
Find HCF of 16 and 28.,4
Express 72 as a product of prime factors.,2³×3²
Express 90 as a product of prime factors.,2×3²×5
Find HCF of 32, 48 and 64.,16
Find LCM of 15, 20 and 30.,60
State the relationship between HCF and LCM of two numbers.,Product of two numbers = HCF × LCM
Check if 91 is prime or composite.,Composite
Check if 97 is prime or composite.,Prime
Write any two co-prime numbers.,8 and 15
