Question,Answer
What is the smallest whole number?,0
What is the successor of 499?,500
What is the predecessor of 200?,199
Write the first five whole numbers.,0,1,2,3,4
What is the successor of 0?,1
What is the predecessor of 1?,0
Is -5 a whole number?,No
Write any two whole numbers greater than 10.,11,12
What is 0 + 78?,78
What is 0 × 345?,0
What is the successor of 9999?,10000
What is the predecessor of 1000?,999
Are whole numbers closed under addition?,Yes
Are whole numbers closed under multiplication?,Yes
Are whole numbers closed under subtraction?,No
Write the additive identity for whole numbers.,0
Write the multiplicative identity for whole numbers.,1
Find the predecessor of 10.,9
Find the successor of 109.,110
What is the sum of the first three whole numbers?,1
How many whole numbers are there?,Infinitely many
Is 0 a whole number?,Yes
Write the smallest three whole numbers.,0,1,2
Find 25 + 0.,25
Find 1 × 356.,356
What property is shown by 7 + 0 = 7?,Additive identity
What property is shown by 9 × 1 = 9?,Multiplicative identity
What property is shown by 4 + 6 = 6 + 4?,Commutative property of addition
What property is shown by (2 + 3) + 4 = 2 + (3 + 4)?,Associative property of addition
What property is shown by 3 × (2 + 5) = 3×2 + 3×5?,Distributive property
Find the predecessor of 1.,0
Find the successor of 100.,101
Is 15 – 20 a whole number?,No
Write any one whole number between 20 and 25.,21
What is 0 + 0?,0
What is 0 × 0?,0
Write the predecessor of 0.,Does not exist
Write the successor of 1.,2
Find 300 + 0.,300
Find 45 × 1.,45
Write any two whole numbers less than 5.,0,1
Are whole numbers closed under division?,No
What is the sum of 0 and 19?,19
Is every natural number a whole number?,Yes
Is every whole number a natural number?,No
Write the next whole number after 1000.,1001
Write the previous whole number before 500.,499
Write any three whole numbers.,0,2,5
What is the result of 1 × 0?,0
What is the predecessor of 2?,1
