Question,Answer
Define practical geometry.,Practical geometry deals with drawing shapes using instruments like ruler, compass, and protractor.
Which instrument is used to draw a straight line?,Ruler
Which instrument is used to draw a circle?,Compass
Which instrument is used to measure angles?,Protractor
Define point.,A point represents a location and has no size.
Define line segment.,A part of a line with two endpoints.
Define ray.,A part of a line with one endpoint and extends infinitely in one direction.
Define line.,A straight path extending infinitely in both directions.
Draw a line segment of length 5 cm.,Draw a straight line with endpoints 5 cm apart.
Draw a ray starting from point A.,Draw a line starting at A and extending in one direction.
Draw a line through points A and B.,Draw straight line connecting A and B.
Draw a perpendicular from point P to line AB.,Use ruler and compass to draw perpendicular from P.
Draw perpendicular bisector of a line segment.,Use compass to find midpoint and draw perpendicular line.
Draw angle of 60° using protractor.,Use protractor to mark 60° and draw angle.
Draw angle of 90° using protractor.,Use protractor to mark 90° and draw angle.
Draw a triangle with sides 5 cm, 6 cm, 7 cm.,Draw using ruler and compass.
Draw an equilateral triangle of side 4 cm.,Draw using compass and ruler.
Draw an isosceles triangle with base 6 cm and sides 5 cm.,Draw using compass and ruler.
Draw a right-angled triangle with sides 3 cm, 4 cm, 5 cm.,Draw using ruler.
Draw a square of side 5 cm.,Draw using ruler.
Draw a rectangle of length 6 cm and breadth 4 cm.,Draw using ruler.
Draw a parallelogram of base 6 cm, side 4 cm, height 3 cm.,Draw using ruler.
Draw a rhombus with side 5 cm.,Draw using ruler and compass.
Draw a circle of radius 3 cm.,Draw using compass.
Draw a circle with diameter 6 cm.,Draw using compass.
Draw tangent to a circle at a point.,Use ruler and compass to draw tangent.
Draw two concentric circles of radii 3 cm and 5 cm.,Draw two circles with same center.
Draw a semicircle with diameter 6 cm.,Draw half circle using compass.
Draw an arc of 60° and radius 4 cm.,Use compass to draw arc of 60°.
Draw a perpendicular from vertex to opposite side in triangle.,Use ruler and compass to draw altitude.
Draw angle bisector of 70° angle.,Use compass to bisect angle.
Draw a line parallel to given line through a point.,Use ruler and set square or compass.
Draw a square using only compass.,Draw arcs to locate vertices and connect with ruler.
Draw rectangle using only compass.,Use compass to measure lengths and connect points.
Draw equilateral triangle using only compass.,Use compass to draw sides and intersecting arcs.
Draw right triangle using compass.,Use compass and ruler to draw sides meeting Pythagoras.
Draw circle through three points.,Use compass to draw circle passing through points.
Draw a tangent to circle from external point.,Use compass to locate point and draw tangent.
Draw perpendicular bisector of a triangle side.,Use compass to find midpoint and draw perpendicular.
Draw angle of 45° using compass.,Use compass to bisect 90° angle.
Draw triangle of sides 6 cm, 8 cm, 10 cm.,Draw using ruler.
Draw rhombus using compass.,Draw equal sides with intersecting arcs.
Draw parallelogram using compass.,Draw parallel sides using compass.
Draw square inside a circle.,Draw circle, mark four points equidistant on circumference, connect.
Draw circle inside a square.,Draw square, draw circle touching all sides.
Draw a semicircle on a line segment.,Draw line segment and compass to draw semicircle.
Draw two perpendicular lines intersecting at a point.,Draw using ruler.
Draw a line at 60° to a given line.,Use protractor or compass construction.
Draw a line perpendicular to a given line from external point.,Use compass and ruler.
Draw two intersecting circles.,Draw using compass with different centers.
Draw tangents to circle from two points.,Use compass to draw tangents from points.
